index,r1,r3,r6,r12,r60
61,1.696,1.835,1.891,1.943,2.238
62,1.332,1.62,1.715,1.789,2.141
63,1.342,1.648,1.754,1.848,2.276
64,1.374,1.59,1.678,1.77,2.184
65,1.579,1.723,1.772,1.812,2.096
66,1.642,1.792,1.843,1.886,2.124
67,1.747,1.833,1.882,1.949,2.237
68,1.802,1.887,1.939,2.013,2.323
69,1.712,1.912,1.996,2.086,2.411
70,1.459,1.808,1.937,2.042,2.427
71,1.589,1.822,1.916,2.006,2.339
72,1.781,1.989,2.068,2.134,2.351
73,1.941,2.055,2.107,2.163,2.379
74,1.819,1.971,2.031,2.093,2.398
75,2.019,2.145,2.185,2.215,2.44
76,1.987,2.033,2.071,2.132,2.484
77,2.062,2.301,2.387,2.459,2.761
78,1.935,2.352,2.504,2.633,3.087
79,1.606,2.035,2.203,2.334,2.763
80,1.936,2.123,2.208,2.306,2.744
81,1.79,1.951,2.057,2.209,2.858
82,1.22,1.592,1.767,1.946,2.489
83,0.975,1.313,1.49,1.696,2.435
84,1.439,1.534,1.618,1.755,2.405
85,1.248,1.416,1.523,1.665,2.208
86,0.958,0.925,1.003,1.193,2.087
87,0.887,0.945,1.006,1.119,1.978
88,0.985,0.996,1.039,1.136,1.932
89,0.673,0.746,0.833,0.986,1.77
90,0.603,0.694,0.786,0.957,2.032
91,0.62,0.615,0.685,0.847,1.854
92,0.679,0.731,0.786,0.896,1.891
93,1.107,0.96,0.957,1.038,1.914
94,0.903,0.945,1.031,1.196,1.982
95,0.845,0.983,1.09,1.261,2.118
96,0.929,1.021,1.105,1.252,2.136
97,0.949,1.009,1.104,1.286,2.21
98,1.097,1.094,1.217,1.473,2.294
99,1.139,1.378,1.559,1.821,2.47
100,1.328,1.385,1.521,1.776,2.469
101,1.496,1.599,1.731,1.953,2.529
102,1.152,1.43,1.619,1.869,2.533
103,1.271,1.529,1.71,1.96,2.662
104,1.667,1.817,1.963,2.191,2.832
105,1.948,2.101,2.228,2.415,2.895
106,2.145,2.147,2.186,2.278,2.787
107,2.052,2.1,2.177,2.312,2.702
108,2.111,2.408,2.549,2.689,2.849
109,2.424,2.527,2.613,2.732,2.883
110,2.278,2.329,2.375,2.447,2.725
111,1.969,2.277,2.413,2.546,2.765
112,2.198,2.322,2.481,2.732,3.062
113,2.628,2.697,2.826,3.039,3.128
114,2.374,2.619,2.741,2.862,2.939
115,2.333,2.446,2.547,2.693,2.973
116,2.082,2.352,2.599,2.935,3.274
117,2.396,2.691,2.928,3.237,3.538
118,2.7,2.93,3.107,3.335,3.422
119,2.56,2.89,3.106,3.335,3.509
120,2.806,3.149,3.445,3.694,3.626
121,3.077,3.289,3.629,3.801,3.711
122,3.064,3.144,3.235,3.271,3.247
123,2.938,3.289,3.42,3.471,3.394
124,2.886,3.012,3.161,3.358,3.423
125,3.021,3.072,3.214,3.426,3.571
126,3.21,3.298,3.382,3.49,3.676
127,3.083,3.363,3.544,3.714,3.831
128,3.056,3.422,3.626,3.798,3.921
129,3.072,3.582,3.901,4.109,3.819
130,3.228,3.698,3.954,4.188,3.996
131,3.361,3.65,3.83,4.009,3.949
132,2.635,3.192,3.373,3.456,3.416
133,2.728,2.785,2.788,2.772,2.855
134,1.456,1.49,1.723,2.144,2.886
135,1.137,1.269,1.479,1.805,2.652
136,0.99,1.112,1.311,1.657,2.577
137,1.155,1.177,1.269,1.462,2.409
138,0.249,0.63,0.919,1.321,2.341
139,0.747,0.739,0.915,1.303,2.554
140,0.704,0.923,1.129,1.468,2.909
141,1.872,2.379,2.647,2.962,3.704
142,1.949,2.885,3.2,3.363,3.754
143,1.822,2.534,2.829,3.089,3.684
144,1.904,2.909,3.228,3.381,3.628
145,2.419,2.745,2.969,3.19,3.82
146,2.467,2.764,3.09,3.403,4.004
147,2.379,2.831,3.145,3.383,3.791
148,2.567,2.892,3.292,3.594,3.984
149,2.739,2.944,3.318,3.608,4.178
150,2.747,3.026,3.603,3.861,4.214
151,2.774,3.164,3.749,3.966,4.412
152,2.399,3.042,3.793,4.409,4.579
153,3.477,3.955,4.386,4.563,4.667
154,3.638,4.215,4.902,4.925,4.693
155,3.169,4.059,4.424,4.548,4.691
156,3.531,4.522,4.842,4.947,4.735
157,4.079,4.559,4.94,5.025,4.807
158,3.538,4.112,4.564,4.711,4.761
159,3.807,4.25,4.375,4.396,4.599
160,2.683,3.095,3.414,3.627,4.035
161,2.97,3.075,3.532,4.157,4.488
162,2.596,3.163,3.451,3.929,4.312
163,1.655,2.197,2.648,3.18,3.993
164,1.831,2.209,2.596,2.91,3.465
165,1.972,2.615,2.867,2.882,3.56
166,2.34,2.53,2.893,2.802,3.592
167,1.606,2.185,2.607,2.855,3.658
168,1.789,2.441,2.767,3.007,3.805
169,2.026,2.275,2.442,2.583,3.436
170,2.039,2.301,2.522,2.76,3.65
171,2.482,2.618,2.799,2.972,3.535
172,2.192,2.417,2.643,2.859,3.557
173,1.933,2.266,2.484,2.845,3.469
174,2.239,2.401,2.604,2.917,3.594
175,2.078,2.308,2.538,2.905,3.726
176,1.744,2.242,2.503,2.881,3.874
177,2.047,2.365,2.71,3.053,3.868
178,1.992,2.337,2.705,3,3.738
179,1.957,2.323,2.669,2.958,3.711
180,2.278,2.596,2.803,3.033,3.797
181,2.483,2.749,2.942,3.148,3.838
182,2.485,2.747,2.948,3.21,3.949
183,2.485,2.763,2.932,3.088,3.751
184,2.632,2.828,2.873,2.89,3.623
185,2.694,2.776,2.871,3,3.642
186,2.455,2.722,2.791,2.938,3.659
187,2.928,2.95,2.992,3.035,3.767
188,2.685,2.899,3.082,3.257,3.86
189,2.661,2.853,3.02,3.109,3.684
190,2.686,2.835,2.934,2.931,3.682
191,2.533,2.745,2.853,2.876,3.644
192,2.671,2.934,2.966,3.009,3.587
193,2.941,2.967,3,3.01,3.534
194,2.928,2.984,3.012,2.993,3.631
195,2.842,2.936,2.952,2.942,3.687
196,2.204,2.846,3.124,2.989,3.704
197,2.853,2.944,3.035,3.081,3.713
198,2.95,3.057,3.118,3.115,3.761
199,2.975,3.054,3.119,3.125,3.81
200,3.053,3.29,3.419,3.461,3.881
201,3.264,3.438,3.526,3.598,3.918
202,3.437,3.466,3.573,3.592,3.945
203,3.364,3.544,3.654,3.673,4.014
204,3.274,3.571,3.696,3.737,3.98
205,3.511,3.585,3.718,3.814,4.068
206,3.424,3.547,3.668,3.777,4.049
207,3.528,3.653,3.8,3.895,4.113
208,3.513,3.597,3.768,3.909,4.2
209,3.32,3.506,3.661,3.812,4.171
210,3.289,3.522,3.644,3.825,4.073
211,3.456,3.545,3.626,3.754,4.057
212,3.317,3.508,3.646,3.737,4.083
213,3.398,3.559,3.691,3.792,4.084
214,3.526,3.631,3.782,3.867,4.055
215,3.451,3.619,3.794,3.877,4.061
216,3.631,3.905,4.078,4.147,4.147
217,3.561,3.889,4.003,4,4.121
218,3.854,3.925,4.059,4.026,4.095
219,3.866,4.039,4.134,4.141,4.127
220,3.822,3.983,4.074,4.085,4.143
221,3.885,3.987,4.068,4.066,4.144
222,3.863,3.954,4.026,4.068,4.141
223,3.787,3.866,3.934,3.925,4.11
224,3.812,3.887,3.975,3.999,4.174
225,3.807,3.933,4.088,4.105,4.23
226,3.949,4.106,4.279,4.351,4.364
227,3.917,4.134,4.291,4.352,4.445
228,3.925,4.179,4.367,4.44,4.56
229,4.44,4.571,4.825,4.964,4.965
230,4.521,4.721,4.843,4.898,5.024
231,4.497,4.738,4.965,5.133,5.279
232,4.403,4.612,4.849,4.974,4.959
233,4.631,4.698,4.872,4.949,5.016
234,4.495,4.693,4.947,5.055,5.112
235,4.495,4.617,4.868,5.018,5.257
236,4.576,4.812,5.09,5.212,5.463
237,4.792,5.12,5.758,5.945,6.005
238,5.198,5.478,5.83,5.915,5.423
239,4.848,5.356,5.696,5.715,5.38
240,4.624,5.285,5.412,5.477,5.371
241,4.699,4.938,5.08,5.034,4.874
242,4.537,4.609,4.635,4.634,4.685
243,4.372,4.595,4.657,4.681,4.8
244,4.014,4.161,4.162,4.142,4.421
245,3.543,3.773,3.93,4.057,4.718
246,3.345,3.492,3.839,4.039,4.711
247,3.748,4.051,4.54,5.084,5.423
248,3.788,4.181,4.777,5.16,5.204
249,3.928,4.49,4.955,5.315,5.443
250,4.248,4.587,5.159,5.4,5.509
251,4.185,4.63,5.224,5.496,5.682
252,4.275,5.038,5.604,5.754,5.776
253,4.426,5.163,5.723,5.898,5.792
254,4.739,4.952,5.17,5.454,5.675
255,4.788,5.122,5.344,5.507,5.7
256,4.941,5.279,5.467,5.685,5.905
257,5.335,5.61,5.802,5.938,6.032
258,5.568,5.84,6.083,6.169,5.94
259,5.289,5.416,5.695,5.945,5.819
260,5.102,5.232,5.436,5.463,5.523
261,5.049,5.256,5.413,5.412,5.509
262,5.197,5.276,5.446,5.412,5.529
263,5.336,5.586,5.67,5.7,5.651
264,5.071,5.602,5.78,5.858,5.743
265,6.138,6.308,6.563,6.617,6.427
266,5.948,6.286,6.509,6.482,6.238
267,5.892,6.299,6.549,6.505,6.449
268,5.638,6.124,6.269,6.313,6.294
269,6.111,6.012,6.146,6.236,6.387
270,5.971,6.204,6.477,6.599,6.631
271,6.256,6.492,7.204,7.672,6.966
272,6.547,7.191,7.467,7.65,6.844
273,7.047,7.071,7.39,7.531,6.951
274,7.031,7.192,7.54,7.814,7.66
275,6.694,7.049,7.519,7.396,7.041
276,6.892,7.667,8.056,7.843,7.273
277,7.28,8.136,8.274,7.937,7.781
278,7.622,8.012,8.06,7.963,7.922
279,6.683,7.011,6.976,6.892,7.125
280,6.425,6.483,6.587,6.655,7.111
281,6.523,7.031,7.328,7.527,7.833
282,6.564,7.036,7.206,7.452,7.591
283,6.119,6.521,6.797,7.215,7.626
284,5.92,6.427,6.659,6.894,7.477
285,6.238,6.377,6.673,6.781,7.349
286,5.557,6.031,6.536,6.604,7.078
287,5.455,5.957,6.227,6.342,6.973
288,4.754,5.068,5.048,5.161,6.081
289,4.572,4.899,4.914,4.994,5.996
290,4.113,4.173,4.246,4.239,5.872
291,3.25,3.425,3.61,3.746,5.494
292,3.462,3.64,3.695,3.809,5.15
293,3.807,4.044,4.334,4.635,6.053
294,4.203,4.377,4.51,4.972,6.123
295,4.95,5.12,5.465,6.057,6.803
296,5.206,5.311,5.824,6.063,6.911
297,4.456,4.4,4.819,5.273,5.933
298,4.473,4.646,4.987,5.274,5.953
299,4.057,4.374,4.482,4.603,5.759
300,4.064,4.346,4.504,4.752,5.84
301,3.33,3.702,4.035,4.293,5.494
302,3.024,3.381,3.784,4.183,5.762
303,3.25,3.441,3.819,4.24,5.682
304,3.42,3.925,4.466,5.004,6.039
305,3.285,3.669,4.12,4.497,5.831
306,3.503,3.81,4.211,4.561,5.726
307,3.675,4.108,4.69,5.171,5.944
308,3.555,3.86,4.432,4.878,5.969
309,4.346,4.508,5.02,5.37,6.13
310,4.482,4.74,5.31,5.632,6.09
311,4.54,4.818,5.186,5.479,6.105
312,4.793,4.918,5.264,5.363,5.99
313,4.927,5.222,5.485,5.591,6.119
314,5.437,5.768,5.965,6.058,6.339
315,5.592,5.901,6.16,6.391,6.62
316,6.083,6.534,6.913,6.962,6.655
317,6.013,6.388,6.684,6.719,6.608
318,6.531,7.011,7.105,7.048,6.659
319,7.454,7.62,7.812,7.593,6.76
320,8.289,8.357,8.655,8.664,7.588
321,8.636,8.68,8.74,8.465,7.061
322,7.126,7.248,7.776,7.577,6.624
323,7.147,7.409,7.691,6.985,6.842
324,7.488,7.623,8.067,7.425,6.669
325,7.292,7.572,7.586,7.112,6.631
326,7.518,7.664,7.471,7.025,6.77
327,7.578,7.587,7.481,6.989,6.847
328,8.513,8.64,8.557,8.289,7.549
329,8.727,9.008,8.99,8.941,8.03
330,7.664,8.29,8.51,8.73,7.891
331,7.655,7.757,8.21,8.683,8.11
332,7.553,7.743,8.263,8.652,8.279
333,9.205,9.296,9.729,9.74,8.403
334,6.056,6.321,7.696,8.292,7.904
335,7.117,8.085,8.016,7.859,7.797
336,7.452,7.627,7.83,7.512,7.519
337,6.77,7.179,7.233,7.128,7.172
338,5.533,5.839,6.02,6.15,7.238
339,4.977,5.55,5.765,5.919,7.06
340,5.266,5.658,5.863,6.164,7.402
341,5.149,5.595,6.201,6.86,7.967
342,4.94,5.282,5.6,6.071,7.558
343,5.667,6.036,6.325,6.849,7.703
344,6.003,6.34,6.896,7.261,7.935
345,5.98,6.503,7.084,7.461,8.023
346,6.31,6.693,7.226,7.621,8.279
347,5.36,5.626,5.863,6.292,7.548
348,5.125,5.68,6.151,6.568,7.817
349,5.056,5.292,5.632,6.101,7.423
350,4.525,4.789,5.106,5.558,7.45
351,4.672,5.095,5.609,6.111,7.434
352,4.778,5.052,5.498,6.04,7.329
353,4.696,4.994,5.428,6.014,7.279
354,5.244,5.615,6.115,6.661,7.682
355,5.296,5.475,5.932,6.356,7.491
356,5.102,5.268,5.653,6.077,7.386
357,4.978,5.168,5.503,5.827,7.109
358,5.068,5.179,5.466,5.731,7.013
359,4.745,4.979,5.202,5.458,6.735
360,4.412,4.505,4.683,4.882,6.014
361,4.263,4.448,4.626,4.84,6.115
362,4.566,4.813,5.145,5.548,6.911
363,4.523,4.785,5.07,5.516,6.98
364,4.507,4.655,4.911,5.407,6.91
365,4.442,4.718,5.051,5.511,6.92
366,4.901,5.109,5.374,5.701,6.842
367,4.956,5.118,5.39,5.636,6.729
368,5.248,5.481,5.811,6.085,6.989
369,5.381,5.655,6.026,6.262,6.891
370,5.743,6.036,6.337,6.568,7.056
371,6.111,6.367,6.713,7.005,7.419
372,5.672,6.194,6.576,6.869,7.282
373,5.822,6.323,6.63,6.921,7.454
374,6.07,6.532,6.858,7.118,7.611
375,6.226,6.555,6.919,7.159,7.762
376,6.564,6.619,6.968,7.324,7.846
377,6.026,6.505,7.087,7.524,7.928
378,6.442,6.812,7.362,7.779,8.128
379,6.606,7.246,7.746,8.199,8.314
380,6.554,7.005,7.617,8.198,8.287
381,7.875,7.7,7.954,8.302,8.205
382,7.997,8.324,8.659,8.658,8.294
383,8.655,8.937,9.503,9.657,8.826
384,8.989,9.173,9.581,9.757,8.633
385,8.628,9.552,9.857,10.329,9.006
386,9.507,9.557,9.73,9.796,8.672
387,9.627,9.672,9.905,9.971,8.982
388,9.589,9.708,9.831,9.773,8.891
389,9.584,9.783,9.93,9.91,9.076
390,9.778,9.795,9.777,9.612,8.759
391,8.977,9.194,9.251,9.109,8.499
392,9.136,9.402,9.628,9.485,8.738
393,10.107,10.025,10.188,10.213,9.103
394,10.218,10.39,10.52,10.479,9.223
395,11.728,12.488,12.729,12.438,10.775
396,11.23,11.775,12.027,11.331,10.207
397,10.274,12.285,12.298,11.413,10.03
398,11.871,12.364,12.425,11.729,10.724
399,13.919,14.324,14.731,14.904,12.907
400,15.071,15.241,15.924,15.281,12.383
401,10.389,10.676,11.041,10.964,10.44
402,7.847,7.911,8.363,8.686,9.704
403,6.665,8.156,8.198,8.426,9.419
404,7.835,8.802,8.934,9.135,10.11
405,9.2,10.255,10.713,11.142,11.477
406,11.204,11.625,11.947,11.893,11.585
407,11.657,12.995,13.266,13.106,12.358
408,14.394,14.856,14.833,14.448,12.661
409,12.901,14.758,14.404,13.201,12.105
410,14.717,15.025,14.542,13.655,12.36
411,14.197,14.698,14.556,13.997,13.288
412,13.034,12.823,12.652,12.862,13.007
413,14.114,15.204,14.958,14.673,13.903
414,16.21,15.673,14.952,14.686,13.314
415,14.413,14.649,14.659,14.42,13.736
416,14.98,15.406,15.801,15.748,14.662
417,15.639,15.999,16.511,16.345,15.461
418,13.679,14.759,15.653,15.911,15.696
419,12.972,13.125,13.689,14.099,14.356
420,10.237,10.568,11.055,11.564,12.723
421,9.71,11.509,12.552,13.327,13.766
422,12.141,12.843,13.408,13.805,13.905
423,11.98,12.717,13.555,13.751,13.706
424,13.963,13.663,13.865,13.946,13.936
425,12.316,12.711,13.156,13.459,13.458
426,11.616,11.855,12.245,12.867,13.491
427,11.742,13.116,13.813,14.211,14.265
428,9.147,10.497,11.771,12.646,13.352
429,7.513,8.331,9.836,11.168,12.473
430,6.937,7.774,9.225,10.369,11.65
431,7.722,8.112,8.735,9.454,10.748
432,7.873,8.391,8.87,9.321,10.71
433,8.071,8.174,8.335,8.786,10.329
434,8.066,8.263,8.516,8.956,10.552
435,7.909,8.063,8.242,8.608,9.859
436,8.558,8.856,9.023,9.246,10.314
437,8.099,8.278,8.408,8.72,9.971
438,8.559,8.833,9.048,9.318,10.517
439,8.568,8.981,9.236,9.583,10.692
440,8.955,9.434,9.808,10.346,11.53
441,9.008,9.464,9.911,10.363,11.695
442,8.775,8.923,9.243,9.698,11.129
443,8.491,8.716,9.122,9.621,11.291
444,8.576,9.068,9.373,9.71,11.261
445,8.633,9.197,9.501,9.894,11.429
446,8.94,9.097,9.319,9.634,11.204
447,8.863,9.373,9.683,9.985,11.609
448,9.504,9.966,10.266,10.611,12.066
449,9.488,9.962,10.339,10.811,12.34
450,9.558,10.039,11.009,11.927,13.436
451,9.386,10.18,10.978,11.988,13.4
452,10.029,10.567,11.029,11.631,12.519
453,10.743,10.821,11.126,11.669,12.495
454,10.442,10.503,10.764,11.165,12.213
455,8.57,9.248,9.648,10.15,11.394
456,8,8.623,8.988,9.531,11.226
457,7.229,8.126,8.367,9.132,11.111
458,7.725,8.195,8.437,8.982,10.779
459,7.671,8.706,9.134,9.65,11.502
460,8.037,8.513,8.868,9.417,11.283
461,7.516,7.98,8.387,8.945,10.901
462,6.996,7.322,7.478,8.011,9.864
463,6.719,7.03,7.252,7.747,9.849
464,7.056,7.397,7.662,8.092,10.173
465,7.243,7.269,7.548,7.934,9.798
466,7.109,7.255,7.443,8.015,9.847
467,7.165,7.354,7.509,7.815,9.534
468,6.592,7.381,7.46,7.746,9.24
469,6.237,7.169,7.297,7.496,8.557
470,6.805,7.163,7.268,7.483,8.658
471,6.887,7.2,7.219,7.327,8.017
472,6.579,6.464,6.474,6.723,7.319
473,5.981,6.178,6.304,6.493,7.315
474,6.234,6.426,6.595,6.87,8.022
475,6.006,6.108,6.173,6.407,7.372
476,5.499,5.884,5.943,6.178,7.215
477,4.859,5.242,5.262,5.485,6.648
478,5.202,5.321,5.53,5.821,7.249
479,5.033,5.301,5.413,5.695,6.927
480,5.241,5.456,5.561,5.701,6.741
481,4.998,5.803,5.766,5.946,6.812
482,5.51,5.705,5.737,5.879,6.785
483,5.489,5.554,5.646,5.889,6.757
484,5.201,5.63,5.863,6.105,7.013
485,4.984,5.549,6.102,6.644,7.86
486,5.597,5.788,6.28,6.911,8.089
487,5.397,5.782,6.151,6.717,7.96
488,5.546,6.073,6.451,6.93,8.158
489,5.805,6.321,6.655,7.232,8.427
490,6.484,6.738,7.23,7.843,9.083
491,4.364,5.385,6.18,6.906,8.414
492,3.8,5.426,6.362,7.032,8.442
493,3.88,5.808,6.428,7.161,8.365
494,4.93,5.825,6.164,6.689,7.744
495,5.267,5.717,6.035,6.58,7.6
496,5.73,5.867,6.235,6.814,8.028
497,5.768,6.092,6.534,7.071,8.297
498,6.083,6.63,7.066,7.575,8.627
499,6.128,6.71,6.953,7.437,8.321
500,6.524,7.041,7.336,7.8,8.625
501,7.544,7.368,7.805,8.192,8.834
502,7.073,7.447,7.739,8.034,8.496
503,6.957,7.499,7.72,7.919,8.256
504,7.084,8.013,8.235,8.492,8.762
505,7.196,8.281,8.547,8.873,8.989
506,8.066,8.506,8.688,8.879,8.899
507,8.075,8.894,8.956,9.283,9.225
508,9.043,9.053,9.279,9.49,9.282
509,8.63,8.65,8.814,9.038,8.954
510,8.519,8.769,8.67,8.746,8.555
511,8.254,8.157,8.038,8.05,7.955
512,7.934,7.902,7.635,7.633,7.479
513,7.501,8.133,8.049,8.237,8.173
514,7.588,8.139,8.178,8.352,8.242
515,7.842,7.936,7.787,7.797,7.77
516,7.938,7.745,7.656,7.613,7.694
517,6.651,7.789,7.7,7.742,7.787
518,7.627,7.901,7.93,7.998,8.246
519,7.74,7.977,7.951,8.009,8.392
520,8.083,7.983,8.071,8.224,8.55
521,7.666,7.988,8.214,8.471,8.906
522,7.652,7.938,7.969,8.094,8.483
523,7.613,7.925,7.876,7.963,8.284
524,7.596,7.636,7.573,7.641,8.054
525,7.537,7.526,7.584,7.74,8.467
526,6.959,7.368,7.415,7.663,8.405
527,6.709,7.298,7.263,7.352,8.178
528,6.659,7.178,7.251,7.269,7.873
529,5.867,6.621,6.641,6.842,7.651
530,5.953,6.308,6.345,6.531,7.597
531,5.677,6.178,6.186,6.431,7.623
