index,violent,robbery,prisoners
103,918,301.3,212
104,929.8,305.8,231
105,977.7,331.8,257
106,1045.2,377,283
107,1089.9,411.3,311
108,1119.7,424.1,318
109,1077.8,405.1,339
110,1013,356.8,368
111,966,331.2,384
112,862.7,295.6,416
113,798.3,252.5,446
114,703.7,210.6,475
115,627.2,181.1,483
116,511.9,170.7,87
117,498,159.2,89
118,522.1,157,93
119,528.6,160.1,90
120,531.7,159.5,96
121,504.2,150.6,92
122,476.4,126.4,108
123,457.8,114,109
124,471,124.2,104
125,523.6,144.8,103
126,467.5,118.8,115
127,472.6,98.8,145
128,471.4,90,174
129,526,90.6,207
130,559.3,107.4,209
131,578.8,120.5,249
132,567.3,116.7,256
133,509.6,106.9,262
134,440.2,96.2,289
135,404.5,98.2,292
136,363.2,83.3,322
137,377.9,81.5,342
138,340.5,75.3,357
139,282.3,129.5,62
140,315,154.8,53
141,414.2,193.3,70
142,412.5,218,69
143,448.1,246.1,68
144,399.5,208.5,95
145,375,200.6,114
146,393.8,190.5,114
147,402,190,119
148,425.8,192.2,127
149,419,178.1,135
150,455.4,187.6,144
151,511.8,214.8,146
152,553.7,234.8,194
153,539.7,224.4,238
154,495.3,210.9,263
155,456.2,196.7,268
156,455.5,187.8,320
157,405.9,163.2,321
158,412,169.6,318
159,390.9,152.9,314
160,366.3,133.8,397
161,345.6,123.5,372
162,382.1,157,118
163,440.7,145.5,120
164,537.3,129.4,173
165,474.8,137,181
166,509,141.1,183
167,559.8,122.4,208
168,453.1,115.3,250
169,435.7,116,273
170,433.3,124.3,263
171,427,124.2,281
172,430.7,122.5,311
173,451.7,118.8,326
174,556.5,138.8,331
175,655.2,164.8,333
176,714.3,214.7,323
177,621.2,151.2,344
178,685.9,186.7,390
179,644.3,161.6,394
180,725,198.7,400
181,668.3,179.9,413
182,677.9,179.5,428
183,762.4,194.2,443
184,734,197.9,429
185,1426.5,964.5,334
186,1411.7,939.6,330
187,1608.7,1054.9,383
188,2010.6,1400.6,433
189,2274.8,1635.1,426
190,2123.1,1448,467
191,1915.4,1235.6,531
192,1721.5,977,558
193,1624.8,835.5,649
194,1505.3,754,738
195,1610.3,717.4,753
196,1921.6,917.7,905
197,2141.9,1083.1,1078
198,2458.2,1213.5,1132
199,2453.3,1215.6,1148
200,2832.8,1266.4,1221
201,2921.8,1229.6,1287
202,2662.6,1107.2,1549
203,2661.4,1239,1782
204,2469.8,1186.7,1650
205,2024.2,850.9,1611
206,1718.5,689.5,1682
207,1627.7,644.3,1913
208,686.8,187.9,211
209,765.6,206,221
210,833.9,249.4,239
211,983.5,355.5,220
212,965.1,348.9,208
213,896.8,297.6,224
214,826.7,263.4,261
215,868,276.2,235
216,941.1,312.4,242
217,1036.5,366.8,247
218,1024.4,356.6,272
219,1117.7,403.3,265
220,1109.4,404,278
221,1244.3,416.8,307
222,1184.3,399.8,336
223,1207.2,366.9,344
224,1206,357.6,355
225,1146.8,328.8,384
226,1071,299.9,406
227,1051,289.2,447
228,1023.6,276.1,439
229,938.7,242.7,437
230,854,211.6,447
231,439.8,140.5,225
232,482.8,166.3,224
233,558.7,213.7,216
234,555.3,197.6,224
235,548.2,196.4,219
236,478.2,154.6,220
237,456.7,144.2,247
238,478.6,144.1,259
239,507.2,164.2,254
240,587.6,213.9,251
241,576.5,209.2,265
242,665.3,243.6,282
243,735.8,271.1,281
244,756.3,263.5,300
245,738.2,268.2,327
246,733.2,249.8,342
247,723.1,248,365
248,667.7,222.6,387
249,657.1,205.2,456
250,638.7,205.4,470
251,606.6,206.7,462
252,572.7,187.2,472
253,534,166.4,502
254,224.8,128,39
255,270.1,173.6,44
256,289.7,184.5,57
257,299.5,190.2,58
258,247.6,148.4,65
259,255.7,156.9,77
260,252.1,130,88
261,231.9,115.9,103
262,219.4,99.4,124
263,245.2,106.3,134
264,263.3,98,142
265,257.1,84.1,141
266,270.1,83.2,136
267,280.9,91.4,142
268,241.8,86.9,150
269,258.4,99.2,153
270,261.2,103.6,164
271,262.2,103.6,198
272,295.6,130.8,202
273,280.6,135.6,217
274,277.9,118.2,249
275,246.9,102.7,288
276,235,88.1,307
277,236.9,39.6,82
278,236.4,40,87
279,288.7,43.3,91
280,313.4,46.8,92
281,283.3,37.7,87
282,259.2,30.3,99
283,238.7,27.3,107
284,235.3,24.4,121
285,234.8,26.8,127
286,222.5,21.3,133
287,214.2,24.2,144
288,234.7,20.2,144
289,254.6,15,157
290,275.7,15,180
291,290.3,20.7,190
292,281.4,21.5,205
293,281.8,16.9,209
294,285.8,18.4,234
295,322,24,245
296,267.2,20.3,283
297,256.8,19.6,319
298,282.2,21.5,323
299,244.9,17.8,330
300,630.6,280.3,87
301,676.7,292.9,95
302,743.9,321.1,96
303,808,367,95
304,792.5,373.2,94
305,774.3,346.8,113
306,728.1,318.9,119
307,724.9,303.8,135
308,714.8,287.1,149
309,808.9,325.3,161
310,796.2,314.3,168
311,810.4,312.7,171
312,845.9,335.7,181
313,967.4,394,211
314,1039.2,456.1,234
315,977.3,412.5,247
316,959.7,381.2,271
317,960.9,372.6,294
318,996.1,330.8,310
319,890.4,279.4,317
320,861.4,278.4,327
321,807.7,248.5,342
322,732.5,219.4,357
323,310.6,123.2,79
324,323.5,121.4,80
325,338,132.7,82
326,377.8,141.4,98
327,341.6,129,114
328,300.6,109,138
329,283.8,99.9,152
330,305.2,98.9,164
331,309.4,92.1,165
332,307.7,90,175
333,328.5,88.6,181
334,380,89,192
335,406.5,101.4,202
336,473.9,101.3,217
337,505.3,116,223
338,508.5,122.2,226
339,489.1,119.8,242
340,525.1,130.2,250
341,524.7,135.2,258
342,537,124.1,275
343,514.6,132.4,286
344,431,111.2,301
345,374.6,109.3,321
346,144,41.2,66
347,161.4,46.9,70
348,181.2,50.2,70
349,200.4,54.9,72
350,204.2,53.6,86
351,172.7,36.2,88
352,181.1,41,93
353,198.7,38.3,92
354,211.7,41.2,97
355,235.1,42,98
356,231.2,36.2,98
357,256.8,39.9,101
358,266.3,39,107
359,299.7,39.2,126
360,303.3,45,139
361,278,39.6,144
362,325.5,53.9,160
363,315.1,46.9,174
364,354.4,53,192
365,272.5,45.1,207
366,310,55.9,222
367,311.5,50.9,243
368,280,36.6,258
369,309.8,100.7,91
370,318.2,93.7,97
371,353.6,102.3,98
372,389.3,113.1,95
373,369.4,109.7,106
374,335.9,87,116
375,326.6,84,129
376,334.2,71.6,152
377,355.8,78.7,173
378,368.8,79.6,192
379,360.7,82.1,217
380,365.2,85.9,233
381,400.8,99.8,232
382,447.7,117.6,222
383,499.6,138.4,227
384,510.8,129.9,231
385,496.4,123.6,238
386,443,115.1,226
387,420.7,108.2,248
388,413.8,96.3,274
389,409.2,93.3,301
390,397,86.8,304
391,382.8,77.1,310
392,233.6,81.1,107
393,223.2,81.3,106
394,248,92.1,97
395,266.7,95.2,105
396,289.5,100.7,99
397,315,97.3,114
398,322.2,87.1,110
399,277.8,70.7,127
400,305.5,75.7,128
401,334.4,82.5,133
402,337.8,90.2,142
403,330.1,74.3,147
404,356.9,76.1,191
405,390.4,69.1,222
406,438,83.1,241
407,535.5,87.2,262
408,462.7,90.4,274
409,444,93.9,274
410,364.7,103.7,288
411,320.5,93.8,311
412,316.9,90.7,331
413,284,75.4,372
414,300.6,80,379
415,524.8,142.9,120
416,584.9,173.7,152
417,676.3,219.4,184
418,665,197,190
419,638.3,202,211
420,669.1,212.6,216
421,640.9,190,251
422,678,190.5,290
423,694.2,190.3,310
424,758.2,223.8,308
425,693,179,316
426,717.4,209,346
427,781.8,237.3,370
428,898.4,269.8,396
429,951,278.9,427
430,984.6,271.4,462
431,1061.7,283.6,484
432,981.9,267.2,522
433,1007.4,268.6,556
434,929.1,276.6,578
435,855.9,239.1,615
436,779.5,198,672
437,732.7,173.6,736
438,224.7,38.7,57
439,207.7,32.9,61
440,202.5,31.8,53
441,193.4,30.8,58
442,195.6,32.5,61
443,163,30.5,71
444,159.6,27.1,69
445,158.5,26.4,75
446,167.5,24.4,72
447,147,27.9,83
448,152.1,25.6,106
449,157.4,25.8,106
450,137.2,24,100
451,143.2,25.1,116
452,132.1,22.7,118
453,130.9,23.3,123
454,125.7,21.3,121
455,129.9,22.4,116
456,131.4,26.9,113
457,124.9,23.5,107
458,120.8,20.7,108
459,125.8,21.1,124
460,112.2,19.4,125
461,693.8,292.1,192
462,732,309.6,198
463,795.5,331.2,193
464,852.4,392.7,187
465,887.1,424.4,183
466,850,360.5,218
467,807.1,347.4,244
468,792.3,301.1,277
469,834.6,302.2,285
470,833,304,279
471,767.8,290.3,280
472,806.8,301.3,282
473,855.4,332.1,291
474,919,363.8,323
475,956.2,407.1,348
476,1000.1,429,366
477,997.8,434.7,381
478,948,402.5,383
479,986.9,423.1,395
480,931.2,393.2,404
481,846.6,336.8,412
482,796.6,298.7,413
483,743.4,263.7,418
484,425.3,169.9,46
485,462,172.3,48
486,531.3,203.2,49
487,601.3,235.5,50
488,628.6,270.9,56
489,571.4,213.8,65
490,576.8,208.5,77
491,523.7,174.6,79
492,538.2,188.5,84
493,556.9,192.7,88
494,564.6,177.3,92
495,619.6,176.3,102
496,675,202.6,109
497,736.3,217.1,122
498,736.1,194.6,132
499,779,184.4,143
500,804.9,175.7,161
501,707.6,168.2,154
502,687.2,150.4,174
503,642.2,127.7,170
504,644.2,109.1,178
505,621.3,96.6,278
506,551,96,275
507,584.7,261.9,137
508,577.2,219.3,151
509,614.2,219.6,162
510,639.5,244,163
511,641.9,257.5,163
512,656.6,271.1,165
513,716.7,285.3,162
514,760.1,306.7,159
515,734.1,292.4,161
516,803.9,301.3,196
517,780.1,276.5,227
518,741.7,241.1,259
519,709.2,222.3,298
520,790.4,234,340
521,803.1,243.3,366
522,770.1,221.5,388
523,791.5,238.5,413
524,766.1,228.9,414
525,687.8,187.3,427
526,635.3,176.2,429
527,590,152.8,440
528,620.8,155.8,457
529,574.9,143,466
530,193.8,85.9,41
531,189.6,85.1,44
532,221,92.5,49
533,227.8,99.1,51
534,228.5,104.3,49
535,219.3,101.3,49
536,190.9,79.6,50
537,211.5,71.1,52
538,256.4,85.8,52
539,284.6,102,56
540,285.4,102.5,58
541,290.1,94.7,60
542,288.3,94.8,64
543,306.1,92.7,71
544,316,98,72
545,338,109.5,78
546,353.9,112.7,85
547,359,117.6,92
548,356.1,123.7,100
549,338.8,115.6,105
550,337.8,114.7,110
551,310.2,92.5,113
552,274,82,117
553,288.7,65.7,91
554,321.2,70.2,67
555,323.6,70.7,110
556,341.9,81,141
557,304.6,81.4,132
558,294.6,73,177
559,280.4,63.8,210
560,282,60.5,211
561,270.9,62.6,229
562,274.1,64.6,237
563,269.8,57,249
564,325.2,77.2,256
565,311.2,78.3,277
566,340.4,86.2,293
567,389.1,116.3,307
568,411.7,124.5,330
569,433.9,139.3,327
570,493.7,162.5,361
571,502.8,130.9,395
572,488.3,134.2,452
573,469,137,482
574,410.7,123.3,531
575,349.3,111.6,574
576,460.4,189,105
577,467.9,184,111
578,527.2,210.9,116
579,554.5,223.6,113
580,540.2,215.2,112
581,506.5,193,131
582,477.2,167.9,147
583,460.7,140.8,162
584,503.5,147.6,175
585,578.6,170.2,194
586,544.6,164.1,203
587,552.5,168.1,218
588,632.6,195,236
589,715.3,216.4,269
590,763,251.1,287
591,740.4,226.9,305
592,744.4,241.8,311
593,743.5,230.7,308
594,663.8,204,338
595,590.9,170.6,358
596,577.4,156.1,409
597,555.7,149.2,442
598,500.2,130.7,457
599,218,39.2,73
600,237.6,36.8,81
601,224.2,33.1,87
602,222.6,34,96
603,253,38.1,94
604,224.8,33.1,104
605,212.6,23.5,114
606,237.6,27.4,104
607,208.5,20.9,121
608,157.4,19.5,136
609,151.2,24.2,135
610,123,22.6,147
611,116,17,158
612,159.3,21.7,165
613,139.9,18.6,176
614,169.9,26.9,183
615,177.5,32.4,180
616,177.1,32.7,182
617,171.4,29.1,204
618,161,29.7,228
619,132.1,20.4,259
620,138.8,19.9,255
621,206.5,25.8,310
622,199.4,64.7,93
623,190.5,64.9,83
624,225.9,73.5,80
625,224.6,82.2,71
626,181.5,70.7,89
627,229.6,61.9,104
628,217.7,49.8,99
629,225.8,43.2,91
630,237.9,48.5,95
631,262.6,51.1,108
632,251.2,47.1,116
633,273.2,56.1,123
634,279.5,52,129
635,330,51.1,141
636,334.6,54,140
637,348.6,56.7,145
638,377.8,62.4,151
639,389.5,75.4,153
640,382,65.2,164
641,435,63.7,183
642,438.4,66.2,194
643,451.4,77.6,200
644,430.2,75.9,215
645,743,323.1,156
646,780.8,359.5,187
647,835.6,407.5,204
648,912.6,460.6,224
649,896.4,458,230
650,805.4,419.6,245
651,655.2,307.2,301
652,628.5,279,354
653,667.1,274.9,380
654,718.9,286.9,397
655,695.7,272.5,447
656,780.7,291.2,432
657,625.3,250.6,452
658,600.9,238.3,438
659,677,312.5,444
660,696.8,331.3,439
661,875.2,340.1,448
662,1001.9,352.4,434
663,945.2,324.6,468
664,811.3,307.6,493
665,798.7,302.4,515
666,643.6,254.9,518
667,570,232.7,542
668,113.1,23.2,30
669,118.8,26.3,26
670,139.9,28.6,32
671,179.8,42,35
672,147.1,35.8,35
673,124.8,33.9,42
674,125.1,24.1,47
675,133.9,23.2,50
676,140.8,26.7,57
677,139.5,23.6,68
678,149.6,26.5,76
679,147.9,21.1,81
680,168.5,23.8,93
681,131.5,27.2,103
682,119.3,33,117
683,125.7,33,132
684,137.8,27.3,160
685,116.8,27.1,157
686,114.5,27.4,177
687,118.2,27.3,174
688,113.2,23.4,176
689,107.2,21.5,184
690,96.5,21.4,182
691,392,180.4,78
692,423.5,192.6,78
693,501.2,250,74
694,604.4,303.7,76
695,630.6,334.6,76
696,607.4,307.6,92
697,553.1,269,107
698,527.7,242.4,136
699,544.5,255,138
700,572.5,268.7,149
701,541,232.8,157
702,582.8,245.2,177
703,609,273.3,219
704,647.6,301,251
705,634.8,293.1,271
706,625.8,285.2,301
707,626.9,296,290
708,614.2,288,301
709,599.8,283,311
710,531.5,235.8,340
711,492.6,210.6,343
712,440.1,186.2,351
713,411.9,174.9,382
714,500.9,109.6,105
715,528.2,111.6,126
716,586,121,123
717,615,127.9,112
718,671.7,140.8,106
719,734.5,126.2,100
720,686.8,114,126
721,688.1,130.3,142
722,703.9,138.1,133
723,725.6,129.5,144
724,628.5,108.3,154
725,658.1,103.1,174
726,703.9,105.2,180
727,780.2,115.1,178
728,834.8,120.3,196
729,934.9,139.3,191
730,929.7,138.4,197
731,889.2,140.8,206
732,819.2,154.5,211
733,840.6,162.4,231
734,853.3,171.4,261
735,961.4,163.4,256
736,834.5,148.2,271
737,831.8,472.6,98
738,841,472.1,108
739,917.4,529.6,114
740,1029.5,641.3,120
741,1069.6,684,123
742,990.1,610.7,145
743,914.1,536.5,158
744,914.3,506.9,172
745,929.9,504.4,187
746,985.9,514.1,195
747,1008.1,503.3,216
748,1097.3,544.4,229
749,1131.2,579.3,248
750,1180.9,624.7,285
751,1163.9,622.1,304
752,1122.1,596.9,320
753,1073.5,561.2,340
754,965.6,476.7,354
755,841.9,399.7,367
756,727,340,378
757,688.6,309.3,383
758,637.8,270.3,386
759,588.8,240.8,397
760,407.1,61.3,214
761,413.4,65.9,234
762,446.1,77.2,223
763,455,82.3,240
764,436.7,80.8,244
765,446.3,85.9,248
766,409.6,79.6,255
767,403.6,74.8,233
768,420.9,78.2,246
769,475.9,87.7,254
770,484,93.9,257
771,501.9,108.6,250
772,546.4,133.5,249
773,623.5,152.1,250
774,658.4,178,265
775,681,186.8,269
776,679.3,192.4,290
777,655,181.2,305
778,646.4,179.2,323
779,588.1,163.9,384
780,607,172.6,376
781,579.4,160.8,370
782,542.1,158,358
783,67.1,13.3,26
784,67,15.6,30
785,61.3,9.9,21
786,54,7.7,19
787,67.5,12.9,28
788,61.8,12.7,33
789,53.7,7.8,47
790,53.6,7.7,51
791,47,6.4,54
792,51.3,6.9,55
793,56.8,7.6,53
794,59.1,8.1,57
795,63.2,9.2,62
796,73.9,7.8,62
797,65.4,8,67
798,83.3,7.9,68
799,82.2,8.3,67
800,81.8,11.1,70
801,86.7,10,78
802,84,11,85
803,87.2,6.4,101
804,89.3,10.2,112
805,66.9,8.8,128
806,406.7,190.5,117
807,412.7,182.6,120
808,457.5,194.8,122
809,498.3,223.7,125
810,496.6,236.9,125
811,436.7,183.6,139
812,397.9,159.4,160
813,385.3,145.6,155
814,381.6,133.1,174
815,420.9,142.1,194
816,421.3,153.1,209
817,452,161.4,219
818,468.6,170.9,243
819,506.2,188.5,279
820,561.8,215.2,289
821,525.9,199,324
822,504.1,192.7,347
823,485.8,187.5,365
824,482.5,178.7,387
825,428.7,164.1,400
826,435.4,158.7,413
827,362.5,133.5,429
828,316.4,128,432
829,316.6,73.8,133
830,353,88.3,129
831,405.2,102.6,146
832,419.5,104.9,147
833,426.8,115.4,151
834,443.9,132.8,169
835,423.4,128.7,201
836,407.5,111.2,212
837,422,106.8,236
838,436.4,106.5,250
839,417.6,109.5,288
840,434.5,105.1,296
841,491.5,126.2,323
842,547.5,121.9,361
843,583.7,128.9,381
844,622.8,136.2,416
845,634.8,121.8,459
846,651.5,128.1,506
847,664.1,115.6,508
848,597.1,106.8,552
849,559.5,103.9,591
850,539.4,92,617
851,508.2,82.9,622
852,455.8,124.1,122
853,502.4,131.1,122
854,545.4,130.6,117
855,490.4,152.4,122
856,478.7,180.6,120
857,473,167.3,124
858,487.8,170.3,146
859,506.1,168.6,157
860,551.1,185.6,170
861,549.7,205.9,165
862,539.5,196,176
863,545.7,193,200
864,518.6,151.8,215
865,506.8,144.3,235
866,506.3,150.1,223
867,510.2,151.4,228
868,503.1,129.6,174
869,520.6,138.2,166
870,522.4,137.9,191
871,463.1,122.2,206
872,444.4,117.5,226
873,419.8,105.2,232
874,374.9,86.2,260
875,282.8,130.3,56
876,301.1,136.7,56
877,333.6,152.2,65
878,363.9,177.9,67
879,371.7,186.6,68
880,360.4,175.4,78
881,342.8,172.3,88
882,320.6,148.4,98
883,331.1,147,109
884,358.6,152.1,119
885,369.4,144.4,128
886,362,138.1,136
887,378.6,149.7,149
888,431,176.2,169
889,450,193.9,183
890,427,180.7,192
891,417.5,179,207
892,426.7,186.7,216
893,427.3,189.3,235
894,480.3,189,268
895,442.1,156.3,286
896,420.5,164.9,291
897,420.5,155.7,303
898,301.6,86.5,53
899,348.1,98.2,56
900,375.1,109.7,56
901,408.5,118.6,63
902,441.7,132,65
903,401.8,114.7,72
904,355.2,112.9,82
905,334.7,113.4,92
906,346.6,115.9,92
907,335.5,118.7,99
908,359.7,107.7,103
909,396.7,115.2,100
910,378,112.4,118
911,431.9,122,146
912,462,122.9,157
913,394.5,94.5,173
914,401.7,101.1,170
915,375.5,87.3,172
916,368,92.3,186
917,347.2,83.2,186
918,333.5,71.6,205
919,312.1,66.7,213
920,286.6,79.5,220
921,636.2,105.9,230
922,637.6,101.3,239
923,678.3,107.6,243
924,660,118.1,237
925,640.4,120.2,238
926,720,122.4,251
927,616.8,104.9,270
928,624.5,103.3,276
929,631,93.9,284
930,674.6,99.5,294
931,664.9,101.1,324
932,741.2,124.7,344
933,813.7,130.2,369
934,976.6,152.4,416
935,972.5,171.1,451
936,944.5,170.6,473
937,1023.4,187.3,486
938,1030.5,186.1,488
939,981.9,175.9,494
940,996.9,172,515
941,990.3,176.2,532
942,903.2,154.9,536
943,847.1,148.2,550
944,189.1,17.9,70
945,163.5,15.9,76
946,159.1,20.3,74
947,126.8,20.1,77
948,104.8,17.8,88
949,99,17.1,97
950,120,15.9,109
951,147.5,14.9,115
952,136.6,17.1,127
953,124.7,16.2,146
954,119.7,12.3,160
955,113.7,12.2,160
956,135.5,11.7,143
957,162.8,12.4,175
958,182.2,18.8,187
959,194.5,16.9,191
960,208.4,15,208
961,227.6,18.7,216
962,207.5,25.9,236
963,177.2,18.9,252
964,197.4,23.3,284
965,154.3,20.2,303
966,167.4,14.1,329
967,389.5,145.8,114
968,382.6,152.4,127
969,414,166.1,134
970,458.1,180.6,151
971,412.6,171.7,153
972,421.1,175.7,171
973,402,172.8,173
974,445.4,166.8,187
975,474.4,180.9,154
976,539.6,207.7,149
977,533.5,193.8,157
978,532.7,173.6,156
979,548.9,160.4,157
980,670.4,191.2,213
981,725.9,212.9,207
982,746.2,218.2,227
983,765.8,220.1,234
984,747.9,207.4,250
985,771.5,223.2,276
986,774,223.7,287
987,789.7,214,292
988,715,178,309
989,694.9,156.8,325
990,407.7,152.4,167
991,435.3,164.4,176
992,507.9,191.8,189
993,550.3,208.5,196
994,532.4,193.3,210
995,577.1,220,210
996,512.2,189.3,237
997,505,178.5,221
998,550,193.5,226
999,658.9,239.9,226
1000,631.1,226.7,228
1001,652.6,234.2,231
1002,658.5,223.1,240
1003,761.4,260.8,257
1004,840.1,286.5,290
1005,806.3,252.5,297
1006,762.1,224.4,344
1007,706.5,204.8,385
1008,663.9,179.8,637
1009,644.4,171.5,677
1010,602.5,157,686
1011,564.6,145.1,717
1012,560.3,146.7,724
1013,240,68.8,60
1014,271.8,66.5,64
1015,304.2,77.7,69
1016,303.3,80.2,68
1017,298.6,84.8,64
1018,285.7,86.5,73
1019,256,64.3,77
1020,244.2,58,77
1021,267.4,55.2,84
1022,266.7,58.6,98
1023,229.8,52.8,108
1024,243.1,54.1,110
1025,258.8,52.6,115
1026,283.9,56.9,137
1027,286.8,55.1,142
1028,290.5,55.9,149
1029,301,58.6,146
1030,304.5,63.6,152
1031,328.8,67.1,157
1032,331.9,68.9,174
1033,334,68.4,195
1034,314.2,66,205
1035,275.5,54.4,205
1036,149.5,30.8,64
1037,166.3,14.4,57
1038,184.2,28.6,76
1039,178.8,38.9,62
1040,128,27.6,67
1041,126.9,23.1,76
1042,132.6,27.8,84
1043,145.1,23,72
1044,147.7,20.9,74
1045,149.2,22.2,82
1046,136.5,16.8,81
1047,142.3,16,91
1048,132.8,18,98
1049,127.2,11.7,109
1050,116.8,11.8,117
1051,109.5,8.9,124
1052,114.2,9,151
1053,96.9,12.2,154
1054,118.3,10.9,168
1055,121.2,15.4,179
1056,119.7,13.4,136
1057,106.3,9.5,140
1058,113.8,10.9,188
1059,290,92.1,126
1060,286.4,97.1,142
1061,301,111.6,157
1062,307.2,120.1,158
1063,321.7,133.2,161
1064,309.1,122.2,165
1065,292.5,110.5,177
1066,295.6,102.3,177
1067,294.7,100.2,185
1068,306,105.7,204
1069,295,105.8,215
1070,299.2,112.5,217
1071,312.5,106.5,230
1072,350.6,123.3,263
1073,373.2,137.6,279
1074,374.9,137.8,311
1075,372.2,142,327
1076,357.7,132.8,346
1077,361.5,131.7,406
1078,341.3,122.6,410
1079,345.2,124.5,404
1080,325.7,105.6,407
1081,314.7,101.1,399
1082,374.9,106.2,109
1083,405.3,125,118
1084,434.6,120.7,112
1085,464.3,135.1,113
1086,447.3,130,106
1087,406.4,117.9,125
1088,371.8,105.4,148
1089,406.4,120.6,155
1090,425.4,132,156
1091,437,135.1,156
1092,439.5,141.4,147
1093,466.4,145.9,134
1094,471.7,140.1,124
1095,501.6,130,142
1096,522.6,145.5,162
1097,534.5,139.8,182
1098,514.6,137.1,192
1099,511.3,139.7,196
1100,484.3,132.7,201
1101,431.2,119,212
1102,440.7,120,225
1103,428.5,115.6,233
1104,377.3,100.9,247
1105,152.3,42.2,71
1106,167.7,46.3,67
1107,168.1,43.9,63
1108,183.7,48.5,66
1109,174.8,50.2,64
1110,174.8,49.8,80
1111,171.8,44.2,77
1112,168.2,38.1,83
1113,166,37.6,82
1114,164.5,41,89
1115,137.3,31.2,77
1116,131.4,34.2,77
1117,146.7,42.7,78
1118,169.3,37.9,84
1119,191,43.3,85
1120,211.5,43.5,83
1121,208.4,43,92
1122,215.8,42.4,98
1123,210.2,42.7,106
1124,210.1,40.4,136
1125,218.7,43.1,149
1126,248.6,37.3,174
1127,350.6,36.6,192
1128,131.5,52.2,71
1129,132.2,49.9,72
1130,166.1,60.5,73
1131,182.6,70.7,73
1132,187.9,68.6,85
1133,190.5,71.2,93
1134,190.9,71.9,96
1135,196.5,66.4,102
1136,206.9,70.2,105
1137,257.9,72.8,113
1138,249.9,66.4,119
1139,214.4,67.1,126
1140,222.6,75.2,130
1141,264.7,112.7,138
1142,277,119,149
1143,275.7,119.8,157
1144,264.4,113.4,176
1145,270.5,112.9,166
1146,281.1,105.1,187
1147,252.7,96.6,201
1148,270.6,100.9,238
1149,249,85.6,283
1150,245.9,84.7,334
1151,240.9,39.7,87
1152,280.4,48.1,98
1153,350.9,42.2,102
1154,392.6,44.4,95
1155,430.1,41.9,113
1156,304.2,34.3,117
1157,237.2,29.8,135
1158,242.1,23.1,138
1159,256.8,20,143
1160,293.1,22.5,148
1161,283.1,20,168
1162,314,15.1,190
1163,258.3,17.1,199
1164,301.4,15.9,216
1165,310.2,17.2,237
1166,319.5,18,237
1167,286.2,17.2,226
1168,272.5,16.6,238
1169,254.2,17.9,254
1170,249.7,20.4,289
1171,255.2,17.7,310
1172,247.6,16.2,326
1173,232.3,15.4,327
