index,price,lotsize
159,62000,1905
160,63000,3968
161,63900,3162
162,130000,6000
163,25000,2910
164,50000,2135
165,52900,3120
166,62000,4075
167,73500,3410
168,38000,2800
169,46000,2684
170,48000,3100
171,52500,3630
172,32000,1950
173,38000,2430
174,46000,4320
175,50000,3036
176,57500,3630
177,70000,5400
178,69900,3420
179,74500,3180
180,42000,3660
181,60000,4410
182,50000,3990
183,58000,4340
184,63900,3510
185,28000,3420
186,54000,3420
187,44700,5495
188,47000,3480
189,50000,7424
190,57250,3460
191,67000,3630
192,52500,3630
193,42000,3480
194,57500,3460
195,33000,3180
196,34400,3635
197,40000,3960
198,40500,4350
199,46500,3930
200,52000,3570
201,53000,3600
202,53900,2520
203,50000,3480
204,55500,3180
205,56000,3290
206,60000,4000
207,60000,2325
208,69500,4350
209,72000,3540
210,92500,3960
211,40500,2640
212,42000,2700
213,47900,2700
214,52000,3180
215,62000,3500
216,41000,3630
217,138300,6000
218,42000,3150
219,47000,3792
220,64500,3510
221,46000,3120
222,58000,3000
223,70100,4200
224,78500,2817
225,87250,3240
226,70800,2800
227,56000,3816
228,48000,3185
229,68000,6321
230,79000,3650
231,80000,4700
232,87000,6615
233,25000,3850
234,32500,3970
235,36000,3000
236,42500,4352
237,43000,3630
238,50000,3600
239,26000,3000
240,30000,3000
241,34000,2787
242,52000,3000
243,70000,4770
244,27000,3649
245,32500,3970
246,37200,2910
247,38000,3480
248,42000,6615
249,44500,3500
250,45000,3450
251,48500,3450
252,52000,3520
253,53900,6930
254,60000,4600
255,61000,4360
256,64500,3450
257,71000,4410
258,75500,4600
259,33500,3640
260,41000,6000
261,41000,5400
262,46200,3640
263,48500,3640
264,48900,4040
265,50000,3640
266,51000,3640
267,52500,5640
268,52500,3600
269,54000,3600
270,59000,4632
271,60000,3640
272,63000,4900
273,64000,4510
274,64900,4100
275,65000,3640
276,66000,5680
277,70000,6300
278,65500,4000
279,57000,3960
280,52000,5960
281,54000,5830
282,74500,4500
283,90000,4100
284,45000,6750
285,45000,9000
286,65000,2550
287,55000,7152
288,62000,6450
289,30000,3360
290,34000,3264
291,38000,4000
292,39000,4000
293,45000,3069
294,47000,4040
295,47500,4040
296,49000,3185
297,50000,5900
298,50000,3120
299,52900,5450
300,53000,4040
301,55000,4080
302,56000,8080
303,58500,4040
304,59500,4080
305,60000,5800
306,64000,5885
307,67000,9667
308,68100,3420
309,70000,5800
310,72000,7600
311,57500,5400
312,69900,4995
313,70000,3000
314,75000,5500
315,76900,6450
316,78000,6210
317,80000,5000
318,82000,5000
319,83000,5828
320,83000,5200
321,83900,5500
322,88500,6350
323,93000,8250
324,98000,6000
325,98500,7700
326,99000,8880
327,101000,8880
328,110000,6480
329,115442,7000
330,120000,8875
331,124000,7155
332,175000,8960
333,50000,7350
334,55000,3850
335,60000,7000
336,61000,7770
337,106000,7440
338,155000,7500
339,141000,8100
340,62500,3900
341,70000,2970
342,73000,3000
343,80000,10500
344,80000,5500
345,88000,4500
346,49000,3850
347,52000,4130
348,59500,4046
349,60000,4079
350,64000,4000
351,64500,9860
352,68500,7000
353,78500,7980
354,86000,6800
355,86900,4300
356,75000,10269
357,78000,6100
358,95000,6420
359,97000,12090
360,107000,6600
361,130000,6600
362,145000,8580
363,175000,9960
364,72000,10700
365,84900,15600
366,99000,13200
367,114000,9000
368,120000,7950
369,145000,16200
370,79000,6100
371,82000,6360
372,85000,6420
373,100500,6360
374,122000,6540
375,126500,6420
376,133000,6550
377,140000,5750
378,190000,7420
379,84000,7160
380,97000,4000
381,103500,9000
382,112500,6550
383,140000,13200
384,74700,7085
385,78000,6600
386,78900,6900
387,83900,11460
388,85000,7020
389,85000,6540
390,86000,8000
391,86900,9620
392,94500,10500
393,96000,5020
394,106000,7440
395,72000,6600
396,74500,7200
397,77000,6710
398,80750,6660
399,82900,7000
400,85000,7231
401,92500,7410
402,76000,7800
403,77500,6825
404,80000,6360
405,80000,6600
406,86000,6900
407,87000,6600
408,87500,6420
409,89000,6600
410,89900,6600
411,90000,9000
412,95000,6500
413,112000,6360
414,31900,5300
415,52000,2850
416,90000,6400
417,1.00E+05,11175
418,91700,6750
419,174500,7500
420,94700,6000
421,68000,10240
422,80000,5136
423,61100,3400
424,62900,2880
425,65500,3840
426,66000,2870
427,49500,5320
428,50000,3512
429,53500,3480
430,58550,3600
431,64500,3520
432,65000,5320
433,69000,6040
434,73000,11410
435,75000,8400
436,75000,5300
437,132000,7800
438,60000,3520
439,65000,5360
440,69000,6862
441,51900,3520
442,57000,4050
443,65000,3520
444,79500,4400
445,72500,5720
446,104900,11440
447,114900,7482
448,120000,5500
449,58000,4320
450,67000,5400
451,67000,4320
452,69000,4815
453,73000,6100
454,73500,7980
455,74900,6050
456,75000,3800
457,79500,5400
458,120900,6000
459,44555,2398
460,47000,2145
461,47600,2145
462,49000,2145
463,49000,2610
464,49000,1950
465,49500,2145
466,52000,2275
467,54000,2856
468,55000,2015
469,55000,2176
470,56000,2145
471,60000,2145
472,60500,2787
473,50000,9500
474,64900,4990
475,93000,6670
476,85000,6254
477,61500,10360
478,88500,5500
479,88000,5450
480,89000,5500
481,89500,6000
482,95000,5700
483,95500,6600
484,51500,4000
485,62900,4880
486,118500,4880
487,42900,8050
488,44100,8100
489,47000,5880
490,50000,5880
491,50000,12944
492,53000,6020
493,53000,4050
494,54000,8400
495,58500,5600
496,59000,5985
497,60000,4500
498,62900,4920
499,64000,8250
500,65000,8400
501,67900,6440
502,68500,8100
503,70000,6720
504,70500,5948
505,71500,8150
506,71900,4800
507,75000,9800
508,75000,8520
509,87000,8372
510,64000,4040
511,70000,4646
512,47500,4775
513,62600,4950
514,66000,5010
515,58900,6060
516,53000,3584
517,95000,6000
518,96500,6000
519,101000,6240
520,102000,6000
521,103000,7680
522,105000,6000
523,108000,6000
524,110000,6000
525,113000,6000
526,120000,7475
527,105000,5150
528,106000,6325
529,107500,6000
530,108000,6000
531,113750,6000
532,120000,7000
533,70000,12900
534,71000,7686
535,82000,5000
536,82000,5800
537,82500,6000
538,83000,4800
539,84000,6500
540,85000,7320
541,85000,6525
542,91500,4800
543,94000,6000
544,103000,6000
545,105000,6000
546,105000,6000
