,엔진 갤런당 마일 수,엔진의 실린더 수,엔진 변위,자동차의 마력,자동차의 중량,자동차의 가속도,자동차의 연식,생산 국가,차 이름
217,36.0,4,79.0,58,1825,18.6,77,europe,renault_5_gtl
218,25.5,4,122.0,96,2300,15.5,77,america,plymouth_arrow_gs
219,33.5,4,85.0,70,1945,16.8,77,asia or other,datsun_f-10_hatchback
220,17.5,8,305.0,145,3880,12.5,77,america,chevrolet_caprice_classic
221,17.0,8,260.0,110,4060,19.0,77,america,oldsmobile_cutlass_supreme
222,15.5,8,318.0,145,4140,13.7,77,america,dodge_monaco_brougham
223,15.0,8,302.0,130,4295,14.9,77,america,mercury_cougar_brougham
224,17.5,6,250.0,110,3520,16.4,77,america,chevrolet_concours
225,20.5,6,231.0,105,3425,16.9,77,america,buick_skylark
226,19.0,6,225.0,100,3630,17.7,77,america,plymouth_volare_custom
227,18.5,6,250.0,98,3525,19.0,77,america,ford_granada
228,16.0,8,400.0,180,4220,11.1,77,america,pontiac_grand_prix_lj
229,15.5,8,350.0,170,4165,11.4,77,america,chevrolet_monte_carlo_landau
230,15.5,8,400.0,190,4325,12.2,77,america,chrysler_cordoba
231,16.0,8,351.0,149,4335,14.5,77,america,ford_thunderbird
232,29.0,4,97.0,78,1940,14.5,77,europe,volkswagen_rabbit_custom
233,24.5,4,151.0,88,2740,16.0,77,america,pontiac_sunbird_coupe
234,26.0,4,97.0,75,2265,18.2,77,asia or other,toyota_corolla_liftback
235,25.5,4,140.0,89,2755,15.8,77,america,ford_mustang_ii_2+2
236,30.5,4,98.0,63,2051,17.0,77,america,chevrolet_chevette
237,33.5,4,98.0,83,2075,15.9,77,america,dodge_colt_m/m
238,30.0,4,97.0,67,1985,16.4,77,asia or other,subaru_dl
239,30.5,4,97.0,78,2190,14.1,77,europe,volkswagen_dasher
240,22.0,6,146.0,97,2815,14.5,77,asia or other,datsun_810
241,21.5,4,121.0,110,2600,12.8,77,europe,bmw_320i
242,21.5,3,80.0,110,2720,13.5,77,asia or other,mazda_rx-4
243,43.1,4,90.0,48,1985,21.5,78,europe,volkswagen_rabbit_custom_diesel
244,36.1,4,98.0,66,1800,14.4,78,america,ford_fiesta
245,32.8,4,78.0,52,1985,19.4,78,asia or other,mazda_glc_deluxe
246,39.4,4,85.0,70,2070,18.6,78,asia or other,datsun_b210_gx
247,36.1,4,91.0,60,1800,16.4,78,asia or other,honda_civic_cvcc
248,19.9,8,260.0,110,3365,15.5,78,america,oldsmobile_cutlass_salon_brougham
249,19.4,8,318.0,140,3735,13.2,78,america,dodge_diplomat
250,20.2,8,302.0,139,3570,12.8,78,america,mercury_monarch_ghia
251,19.2,6,231.0,105,3535,19.2,78,america,pontiac_phoenix_lj
252,20.5,6,200.0,95,3155,18.2,78,america,chevrolet_malibu
253,20.2,6,200.0,85,2965,15.8,78,america,ford_fairmont_(auto)
254,25.1,4,140.0,88,2720,15.4,78,america,ford_fairmont_(man)
255,20.5,6,225.0,100,3430,17.2,78,america,plymouth_volare
256,19.4,6,232.0,90,3210,17.2,78,america,amc_concord
257,20.6,6,231.0,105,3380,15.8,78,america,buick_century_special
258,20.8,6,200.0,85,3070,16.7,78,america,mercury_zephyr
259,18.6,6,225.0,110,3620,18.7,78,america,dodge_aspen
260,18.1,6,258.0,120,3410,15.1,78,america,amc_concord_d/l
261,19.2,8,305.0,145,3425,13.2,78,america,chevrolet_monte_carlo_landau
262,17.7,6,231.0,165,3445,13.4,78,america,buick_regal_sport_coupe_(turbo)
263,18.1,8,302.0,139,3205,11.2,78,america,ford_futura
264,17.5,8,318.0,140,4080,13.7,78,america,dodge_magnum_xe
265,30.0,4,98.0,68,2155,16.5,78,america,chevrolet_chevette
266,27.5,4,134.0,95,2560,14.2,78,asia or other,toyota_corona
267,27.2,4,119.0,97,2300,14.7,78,asia or other,datsun_510
268,30.9,4,105.0,75,2230,14.5,78,america,dodge_omni
269,21.1,4,134.0,95,2515,14.8,78,asia or other,toyota_celica_gt_liftback
270,23.2,4,156.0,105,2745,16.7,78,america,plymouth_sapporo
271,23.8,4,151.0,85,2855,17.6,78,america,oldsmobile_starfire_sx
272,23.9,4,119.0,97,2405,14.9,78,asia or other,datsun_200-sx
273,20.3,5,131.0,103,2830,15.9,78,europe,audi_5000
274,17.0,6,163.0,125,3140,13.6,78,europe,volvo_264gl
275,21.6,4,121.0,115,2795,15.7,78,europe,saab_99gle
276,16.2,6,163.0,133,3410,15.8,78,europe,peugeot_604sl
277,31.5,4,89.0,71,1990,14.9,78,europe,volkswagen_scirocco
278,29.5,4,98.0,68,2135,16.6,78,asia or other,honda_accord_lx
279,21.5,6,231.0,115,3245,15.4,79,america,pontiac_lemans_v6
280,19.8,6,200.0,85,2990,18.2,79,america,mercury_zephyr_6
281,22.3,4,140.0,88,2890,17.3,79,america,ford_fairmont_4
282,20.2,6,232.0,90,3265,18.2,79,america,amc_concord_dl_6
283,20.6,6,225.0,110,3360,16.6,79,america,dodge_aspen_6
284,17.0,8,305.0,130,3840,15.4,79,america,chevrolet_caprice_classic
285,17.6,8,302.0,129,3725,13.4,79,america,ford_ltd_landau
286,16.5,8,351.0,138,3955,13.2,79,america,mercury_grand_marquis
287,18.2,8,318.0,135,3830,15.2,79,america,dodge_st._regis
288,16.9,8,350.0,155,4360,14.9,79,america,buick_estate_wagon_(sw)
289,15.5,8,351.0,142,4054,14.3,79,america,ford_country_squire_(sw)
290,19.2,8,267.0,125,3605,15.0,79,america,chevrolet_malibu_classic_(sw)
291,18.5,8,360.0,150,3940,13.0,79,america,chrysler_lebaron_town_@_country_(sw)
292,31.9,4,89.0,71,1925,14.0,79,europe,vw_rabbit_custom
293,34.1,4,86.0,65,1975,15.2,79,asia or other,maxda_glc_deluxe
294,35.7,4,98.0,80,1915,14.4,79,america,dodge_colt_hatchback_custom
295,27.4,4,121.0,80,2670,15.0,79,america,amc_spirit_dl
296,25.4,5,183.0,77,3530,20.1,79,europe,mercedes_benz_300d
297,23.0,8,350.0,125,3900,17.4,79,america,cadillac_eldorado
298,27.2,4,141.0,71,3190,24.8,79,europe,peugeot_504
299,23.9,8,260.0,90,3420,22.2,79,america,oldsmobile_cutlass_salon_brougham
300,34.2,4,105.0,70,2200,13.2,79,america,plymouth_horizon
301,34.5,4,105.0,70,2150,14.9,79,america,plymouth_horizon_tc3
302,31.8,4,85.0,65,2020,19.2,79,asia or other,datsun_210
303,37.3,4,91.0,69,2130,14.7,79,europe,fiat_strada_custom
304,28.4,4,151.0,90,2670,16.0,79,america,buick_skylark_limited
305,28.8,6,173.0,115,2595,11.3,79,america,chevrolet_citation
306,26.8,6,173.0,115,2700,12.9,79,america,oldsmobile_omega_brougham
307,33.5,4,151.0,90,2556,13.2,79,america,pontiac_phoenix
308,41.5,4,98.0,76,2144,14.7,80,europe,vw_rabbit
309,38.1,4,89.0,60,1968,18.8,80,asia or other,toyota_corolla_tercel
310,32.1,4,98.0,70,2120,15.5,80,america,chevrolet_chevette
311,37.2,4,86.0,65,2019,16.4,80,asia or other,datsun_310
312,28.0,4,151.0,90,2678,16.5,80,america,chevrolet_citation
313,26.4,4,140.0,88,2870,18.1,80,america,ford_fairmont
314,24.3,4,151.0,90,3003,20.1,80,america,amc_concord
315,19.1,6,225.0,90,3381,18.7,80,america,dodge_aspen
316,34.3,4,97.0,78,2188,15.8,80,europe,audi_4000
317,29.8,4,134.0,90,2711,15.5,80,asia or other,toyota_corona_liftback
318,31.3,4,120.0,75,2542,17.5,80,asia or other,mazda_626
319,37.0,4,119.0,92,2434,15.0,80,asia or other,datsun_510_hatchback
320,32.2,4,108.0,75,2265,15.2,80,asia or other,toyota_corolla
321,46.6,4,86.0,65,2110,17.9,80,asia or other,mazda_glc
322,27.9,4,156.0,105,2800,14.4,80,america,dodge_colt
323,40.8,4,85.0,65,2110,19.2,80,asia or other,datsun_210
324,44.3,4,90.0,48,2085,21.7,80,europe,vw_rabbit_c_(diesel)
325,43.4,4,90.0,48,2335,23.7,80,europe,vw_dasher_(diesel)
326,36.4,5,121.0,67,2950,19.9,80,europe,audi_5000s_(diesel)
327,30.0,4,146.0,67,3250,21.8,80,europe,mercedes-benz_240d
328,44.6,4,91.0,67,1850,13.8,80,asia or other,honda_civic_1500_gl
329,40.9,4,85.0,?,1835,17.3,80,europe,renault_lecar_deluxe
330,33.8,4,97.0,67,2145,18.0,80,asia or other,subaru_dl
331,29.8,4,89.0,62,1845,15.3,80,europe,vokswagen_rabbit
332,32.7,6,168.0,132,2910,11.4,80,asia or other,datsun_280-zx
333,23.7,3,70.0,100,2420,12.5,80,asia or other,mazda_rx-7_gs
334,35.0,4,122.0,88,2500,15.1,80,europe,triumph_tr7_coupe
335,23.6,4,140.0,?,2905,14.3,80,america,ford_mustang_cobra
336,32.4,4,107.0,72,2290,17.0,80,asia or other,honda_accord
337,27.2,4,135.0,84,2490,15.7,81,america,plymouth_reliant
338,26.6,4,151.0,84,2635,16.4,81,america,buick_skylark
339,25.8,4,156.0,92,2620,14.4,81,america,dodge_aries_wagon_(sw)
340,23.5,6,173.0,110,2725,12.6,81,america,chevrolet_citation
341,30.0,4,135.0,84,2385,12.9,81,america,plymouth_reliant
342,39.1,4,79.0,58,1755,16.9,81,asia or other,toyota_starlet
343,39.0,4,86.0,64,1875,16.4,81,america,plymouth_champ
344,35.1,4,81.0,60,1760,16.1,81,asia or other,honda_civic_1300
345,32.3,4,97.0,67,2065,17.8,81,asia or other,subaru
346,37.0,4,85.0,65,1975,19.4,81,asia or other,datsun_210_mpg
347,37.7,4,89.0,62,2050,17.3,81,asia or other,toyota_tercel
348,34.1,4,91.0,68,1985,16.0,81,asia or other,mazda_glc_4
349,34.7,4,105.0,63,2215,14.9,81,america,plymouth_horizon_4
350,34.4,4,98.0,65,2045,16.2,81,america,ford_escort_4w
351,29.9,4,98.0,65,2380,20.7,81,america,ford_escort_2h
352,33.0,4,105.0,74,2190,14.2,81,europe,volkswagen_jetta
353,34.5,4,100.0,?,2320,15.8,81,europe,renault_18i
354,33.7,4,107.0,75,2210,14.4,81,asia or other,honda_prelude
355,32.4,4,108.0,75,2350,16.8,81,asia or other,toyota_corolla
356,32.9,4,119.0,100,2615,14.8,81,asia or other,datsun_200sx
357,31.6,4,120.0,74,2635,18.3,81,asia or other,mazda_626
358,28.1,4,141.0,80,3230,20.4,81,europe,peugeot_505s_turbo_diesel
359,30.7,6,145.0,76,3160,19.6,81,europe,volvo_diesel
360,25.4,6,168.0,116,2900,12.6,81,asia or other,toyota_cressida
361,24.2,6,146.0,120,2930,13.8,81,asia or other,datsun_810_maxima
362,22.4,6,231.0,110,3415,15.8,81,america,buick_century
363,26.6,8,350.0,105,3725,19.0,81,america,oldsmobile_cutlass_ls
364,20.2,6,200.0,88,3060,17.1,81,america,ford_granada_gl
365,17.6,6,225.0,85,3465,16.6,81,america,chrysler_lebaron_salon
366,28.0,4,112.0,88,2605,19.6,82,america,chevrolet_cavalier
367,27.0,4,112.0,88,2640,18.6,82,america,chevrolet_cavalier_wagon
368,34.0,4,112.0,88,2395,18.0,82,america,chevrolet_cavalier_2-door
369,31.0,4,112.0,85,2575,16.2,82,america,pontiac_j2000_se_hatchback
370,29.0,4,135.0,84,2525,16.0,82,america,dodge_aries_se
371,27.0,4,151.0,90,2735,18.0,82,america,pontiac_phoenix
372,24.0,4,140.0,92,2865,16.4,82,america,ford_fairmont_futura
373,23.0,4,151.0,?,3035,20.5,82,america,amc_concord_dl
374,36.0,4,105.0,74,1980,15.3,82,europe,volkswagen_rabbit_l
375,37.0,4,91.0,68,2025,18.2,82,asia or other,mazda_glc_custom_l
376,31.0,4,91.0,68,1970,17.6,82,asia or other,mazda_glc_custom
377,38.0,4,105.0,63,2125,14.7,82,america,plymouth_horizon_miser
378,36.0,4,98.0,70,2125,17.3,82,america,mercury_lynx_l
379,36.0,4,120.0,88,2160,14.5,82,asia or other,nissan_stanza_xe
380,36.0,4,107.0,75,2205,14.5,82,asia or other,honda_accord
381,34.0,4,108.0,70,2245,16.9,82,asia or other,toyota_corolla
382,38.0,4,91.0,67,1965,15.0,82,asia or other,honda_civic
383,32.0,4,91.0,67,1965,15.7,82,asia or other,honda_civic_(auto)
384,38.0,4,91.0,67,1995,16.2,82,asia or other,datsun_310_gx
385,25.0,6,181.0,110,2945,16.4,82,america,buick_century_limited
386,38.0,6,262.0,85,3015,17.0,82,america,oldsmobile_cutlass_ciera_(diesel)
