지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
174,2019-01-02 14:00,2.4,,6.1,340,56,4.1,-5.5,1010.8,1031.6,1,,,,4,0,,,1785,,,2.8,,,,
174,2019-01-02 15:00,2.7,,5.4,320,54,4,-5.6,1010.6,1031.3,1,,,,1,0,,,1879,,,2.1,,,,
174,2019-01-02 16:00,2.6,,3.9,320,54,4,-5.7,1010.8,1031.5,1,,,,0,0,,,1723,,,.6,,,,
174,2019-01-02 17:00,1,,5.1,340,61,4,-5.6,1011.3,1032.2,.9,,,,0,0,,,1435,,,-1,,,,
174,2019-01-02 18:00,0,,3.6,320,64,3.9,-6,1011.9,1032.9,0,,,,0,0,,,1340,,,-2.5,,,,
174,2019-01-02 19:00,-1,,1.7,340,69,3.9,-5.9,1012.5,1033.6,,,,,0,0,,,1244,,,-3.3,,,,
174,2019-01-02 20:00,-1.3,,3.8,340,71,4,-5.8,1012.6,1033.7,,,,,0,0,,,1225,,,-3.2,,,,
174,2019-01-02 21:00,-1.9,,1.9,340,75,4,-5.7,1012.6,1033.8,,,,,0,0,,,1180,,,-3.8,,,,
174,2019-01-02 22:00,-2.1,,2.9,320,75,3.9,-5.9,1012.7,1033.9,,,,,0,0,,,1247,,,-3.6,,,,
174,2019-01-02 23:00,-2.2,,5,340,76,4,-5.8,1012.5,1033.7,,,,,0,0,,,1301,,,-3.6,,,,
174,2019-01-03 00:00,-2.7,,1.6,290,78,3.9,-6,1012.7,1033.9,,,,,0,0,,,1370,,,-4.1,,,,
174,2019-01-03 01:00,-2.8,,2.5,320,78,3.9,-6.1,1012.4,1033.6,,,,,0,0,,,1514,,,-4.1,,,,
174,2019-01-03 02:00,-2.8,,2.1,320,78,3.9,-6.1,1012.7,1033.9,,,,,0,0,,,1506,,,-4.3,,,,
174,2019-01-03 03:00,-3,,1.8,320,78,3.8,-6.3,1012.9,1034.2,,,,,0,0,,,1577,,,-4.3,,,,
174,2019-01-03 04:00,-3.1,,2.5,320,78,3.8,-6.3,1012.7,1034,,,,,0,0,,,1687,,,-4.3,,,,
174,2019-01-03 05:00,-3.3,,3.5,290,76,3.6,-6.9,1012.4,1033.7,,,,,0,0,,,1778,,,-4.4,,,,
174,2019-01-03 06:00,-3.1,,3.4,320,71,3.5,-7.6,1012.7,1034,,,,,0,0,,,1890,,,-4.4,,,,
174,2019-01-03 07:00,-3.2,,3.5,320,72,3.5,-7.5,1012.7,1034,,,,,0,0,,,1815,,,-4.4,,,,
174,2019-01-03 08:00,-3.2,,2.4,320,70,3.4,-7.9,1013.2,1034.5,0,,,,0,0,,,1594,,,-4.3,,,,
174,2019-01-03 09:00,-1.9,,3.8,320,62,3.3,-8.2,1014.3,1035.5,.9,,,,0,0,,,1854,,,-2.4,,,,
174,2019-01-03 10:00,-.1,,3.9,290,50,3,-9.2,1014.6,1035.7,1,,,,0,0,,,1902,,,-.6,,,,
174,2019-01-03 11:00,2.1,,3.3,320,40,2.8,-10.1,1014.1,1035,1,,,,0,0,,,1933,,,1,,,,
174,2019-01-03 12:00,2.7,,4.4,290,37,2.8,-10.5,1013.4,1034.2,1,,,,0,0,,,1910,,,4.3,,,,
174,2019-01-03 13:00,3.5,,5.3,290,36,2.8,-10.2,1012.4,1033.1,1,,,,0,0,,,1780,,,5.6,,,,
174,2019-01-03 14:00,5.2,,3.4,320,31,2.8,-10.5,1011.7,1032.3,1,,,,0,0,,,1749,,,4.6,,,,
174,2019-01-03 15:00,5.6,,4.1,290,32,2.9,-9.8,1011.5,1032,1,,,,0,0,,,1345,,,3.4,,,,
174,2019-01-03 16:00,5.6,,3.3,320,30,2.7,-10.6,1011.6,1032.1,1,,,,0,0,,,1981,,,1.9,,,,
174,2019-01-03 17:00,4.3,,3.3,320,31,2.6,-11.3,1012,1032.6,.9,,,,0,0,,,1888,,,-.1,,,,
174,2019-01-03 18:00,1.9,,1.1,340,36,2.5,-11.6,1012.1,1032.9,0,,,,0,0,,,1593,,,-3.2,,,,
174,2019-01-03 19:00,-1.4,,1,320,50,2.8,-10.5,1012.6,1033.7,,,,,0,0,,,1356,,,-3.9,,,,
174,2019-01-03 20:00,-2.5,,.3,0,56,2.9,-10,1012.9,1034.1,,,,,0,0,,,874,,,-4.5,,,,
174,2019-01-03 21:00,-3.5,,.5,70,60,2.8,-10.1,1012.8,1034.1,,,,,0,0,,,1226,,,-4.6,,,,
174,2019-01-03 22:00,-4.6,,.7,110,67,2.9,-9.8,1012.9,1034.3,,,,,0,0,,,1204,,,-4.9,,,,
174,2019-01-03 23:00,-5.3,,.8,110,72,3,-9.5,1013.2,1034.7,,,,,0,0,,,1229,,,-4.9,,,,
174,2019-01-04 00:00,-5.9,,.8,140,77,3,-9.2,1012.8,1034.3,,,,,0,0,,,1005,,,-5,,,,
174,2019-01-04 01:00,-5.4,,.3,0,72,3,-9.6,1012.5,1034,,,,,0,0,,,1129,,,-5.2,,,,
174,2019-01-04 02:00,-6.7,,.3,0,78,2.9,-9.9,1013,1034.5,,,,,0,0,,,1154,,,-5.3,,,,
174,2019-01-04 03:00,-6.5,,.4,0,81,3,-9.2,1012.2,1033.7,,,,,0,0,,,1190,,,-5.5,,,,
174,2019-01-04 04:00,-7.1,,.5,140,83,3,-9.5,1011.8,1033.4,,,,,1,0,,,1198,,,-5.6,,,,
174,2019-01-04 05:00,-8,,.4,0,87,2.9,-9.7,1011.7,1033.3,,,,,1,0,,,1092,,,-5.6,,,,
174,2019-01-04 06:00,-8,,.2,0,87,2.9,-9.7,1010.8,1032.4,,,,,0,0,,,1133,,,-5.6,,,,
174,2019-01-04 07:00,-8.3,,.3,0,90,3,-9.6,1010.7,1032.3,,,,,0,0,,,1012,,,-5.6,,,,
174,2019-01-04 08:00,-8,,0,0,90,3,-9.3,1011.1,1032.7,0,,,,0,0,,,985,,,-5.2,,,,
174,2019-01-04 09:00,-5.3,,.6,140,77,3.2,-8.7,1010.7,1032.1,.9,,,,8,3,,63,799,,,-2.3,,,,
174,2019-01-04 10:00,-1.3,,.8,180,67,3.7,-6.6,1010.8,1031.9,.3,,,,10,9,,54,795,,,-.1,,,,
174,2019-01-04 11:00,3.6,,.9,180,43,3.4,-7.8,1010.1,1030.7,1,,,,1,1,,24,1678,,,2.4,,,,
174,2019-01-04 12:00,2.5,,1.4,290,40,2.9,-9.7,1010.4,1031.1,0,,,,10,10,,24,1749,,,1.5,,,,
174,2019-01-04 13:00,3.9,,3,290,35,2.8,-10.2,1009.4,1030,0,,,,9,2,,20,1906,,,3.7,,,,
174,2019-01-04 14:00,4.2,,3.4,290,36,3,-9.5,1008.2,1028.7,0,,,,10,1,,18,1763,,,4.9,,,,
174,2019-01-04 15:00,4.4,,2.8,290,28,2.3,-12.5,1008.1,1028.6,0,,,,10,3,,20,1989,,,3.5,,,,
174,2019-01-04 16:00,3.7,,3.5,320,33,2.6,-11.1,1008.1,1028.7,0,,,,10,4,,19,1876,,,2.2,,,,
174,2019-01-04 17:00,2.5,,3.5,340,54,4,-5.8,1007.8,1028.5,0,,,,10,9,,14,2000,,,.9,,,,
174,2019-01-04 18:00,2.2,,2.2,290,56,4,-5.6,1007.4,1028.1,0,,,,9,0,,,1545,,,.2,,,,
174,2019-01-04 19:00,2.2,,2,340,56,4,-5.6,1007,1027.7,,,,,0,0,,,1495,,,.1,,,,
174,2019-01-04 20:00,2.4,,3.1,340,55,4,-5.7,1006.8,1027.5,,,,,9,9,,28,1389,,,.3,,,,
174,2019-01-04 21:00,2.7,,3,320,54,4,-5.6,1006.8,1027.4,,,,,9,9,,27,1363,,,.4,,,,
174,2019-01-04 22:00,2.8,,2.6,290,55,4.1,-5.3,1006.8,1027.4,,,,,10,1,,19,1272,,,.5,,,,
174,2019-01-04 23:00,2.7,,2.6,290,57,4.2,-4.9,1006.1,1026.7,,,,,10,10,,26,1236,,,.5,,,,
174,2019-01-05 00:00,2.7,,2.5,290,59,4.4,-4.5,1006.2,1026.8,,,,,9,2,,,1083,,,.5,,,,
174,2019-01-05 01:00,2.8,,3.1,320,65,4.9,-3.1,1005.8,1026.4,,,,,10,1,,16,980,,,.4,,,,
174,2019-01-05 02:00,2.6,,3.2,320,69,5.1,-2.5,1005.5,1026.1,,,,,9,1,,8,923,,,.1,,,,
174,2019-01-05 03:00,2.4,,2.2,320,75,5.5,-1.5,1005.4,1026,,,,,10,9,,8,756,,,.1,,,,
174,2019-01-05 04:00,2.3,,2.4,320,76,5.5,-1.5,1004.5,1025.1,,,,,10,0,,,668,,,-.2,,,,
174,2019-01-05 05:00,2,,2.2,290,75,5.3,-1.9,1004.1,1024.8,,,,,9,8,,9,627,,,0,,,,
174,2019-01-05 06:00,2.5,,3,320,72,5.3,-2,1004.1,1024.7,,,,,9,8,,9,483,,,.1,,,,
174,2019-01-05 07:00,2.3,,2.2,320,75,5.4,-1.6,1004.5,1025.1,,,,,9,7,,8,399,,,-.6,,,,
174,2019-01-05 08:00,2.4,,2.4,290,76,5.5,-1.4,1004.5,1025.1,0,,,,5,5,,8,359,,,-.5,,,,
174,2019-01-05 09:00,2.5,,2.5,290,74,5.4,-1.6,1005.2,1025.8,0,,,,9,0,,,311,,,1.1,,,,
174,2019-01-05 10:00,2.7,,3.8,320,72,5.4,-1.8,1005.9,1026.5,.2,,,,9,9,,35,342,,,2.1,,,,
174,2019-01-05 11:00,2.9,,3.7,320,68,5.1,-2.4,1005.6,1026.2,.3,,,,6,6,,36,321,,,3.8,,,,
174,2019-01-05 12:00,4.5,,4.3,340,57,4.8,-3.2,1004.3,1024.7,1,,,,8,8,,34,349,,,8.4,,,,
174,2019-01-05 13:00,5.3,,4.5,340,46,4.1,-5.4,1003.3,1023.7,1,,,,3,3,,,477,,,7,,,,
174,2019-01-05 14:00,7.2,,4.1,340,36,3.6,-6.9,1002.8,1023,1,,,,0,0,,,584,,,5.8,,,,
174,2019-01-05 15:00,6.8,,4,340,32,3.2,-8.7,1002.7,1022.9,1,,,,0,0,,,859,,,3.9,,,,
174,2019-01-05 16:00,6.4,,4.3,340,29,2.8,-10.3,1002.9,1023.2,1,,,,0,0,,,1043,,,2.5,,,,
174,2019-01-05 17:00,4.7,,2.4,320,32,2.7,-10.6,1002.9,1023.3,.9,,,,0,0,,,1023,,,-.3,,,,
174,2019-01-05 18:00,3.1,,4.3,320,38,2.9,-9.8,1003.3,1023.8,0,,,,,0,,,838,,,-1,,,,
174,2019-01-05 19:00,1.5,,1.8,290,43,2.9,-9.7,1003.9,1024.6,,,,,0,0,,,753,,,-2.3,,,,
174,2019-01-05 20:00,1,,2.9,320,48,3.1,-8.8,1004.4,1025.2,,,,,0,0,,,726,,,-2.3,,,,
174,2019-01-05 21:00,.2,,2.7,340,53,3.3,-8.2,1004.5,1025.3,,,,,4,0,,,746,,,-2.6,,,,
174,2019-01-05 22:00,-.3,,3.2,320,55,3.3,-8.2,1004.9,1025.8,,,,,0,0,,,809,,,-2.7,,,,
174,2019-01-05 23:00,-.6,,4.2,320,54,3.2,-8.7,1004.9,1025.8,,,,,0,0,,,1075,,,-2.8,,,,
174,2019-01-06 00:00,-1.3,,3.2,320,55,3.1,-9.1,1004.9,1025.8,,,,,0,0,,,1320,,,-3.1,,,,
174,2019-01-06 01:00,-1.6,,2.4,290,52,2.8,-10.1,1004.7,1025.7,,,,,8,4,,55,1535,,,-2.3,,,,
174,2019-01-06 02:00,-1.5,,2.3,290,48,2.6,-11.1,1005.4,1026.4,,,,,9,9,,45,1702,,,-2,,,,
174,2019-01-06 03:00,-1.7,,4.2,320,43,2.3,-12.6,1005.9,1026.9,,,,,9,9,,41,1843,,,-2.3,,,,
174,2019-01-06 04:00,-2.2,,3.1,340,43,2.2,-13.1,1005.9,1026.9,,,,,10,6,,38,1965,,,-2.8,,,,
174,2019-01-06 05:00,-2.3,,3.4,340,43,2.2,-13.2,1005.3,1026.3,,,,,10,10,,38,1919,,,-3.2,,,,
174,2019-01-06 06:00,-2.1,,3.3,320,41,2.1,-13.6,1005.7,1026.7,,,,,9,9,,35,1884,,,-2.8,,,,
174,2019-01-06 07:00,-2.3,,3,320,40,2.1,-14.1,1005.7,1026.7,,,,,9,9,,35,1964,,,-3.3,,,,
174,2019-01-06 08:00,-2.3,,2.4,340,38,2,-14.7,1005.8,1026.8,0,,,,8,8,,33,1968,,,-3.3,,,,
174,2019-01-06 09:00,-.7,,2.5,340,35,2,-14.2,1006.8,1027.7,.8,,,,7,7,,37,1860,,,-1.2,,,,
174,2019-01-06 10:00,.2,,2.8,320,33,2,-14.2,1007.1,1028,1,,,,0,0,,,1734,,,-.5,,,,
174,2019-01-06 11:00,2.3,,3.1,290,30,2.2,-13.5,1006.8,1027.5,1,,,,0,0,,,1803,,,1.4,,,,
174,2019-01-06 12:00,3.8,,4.4,290,26,2.1,-13.9,1006.1,1026.6,1,,,,0,0,,,1878,,,5,,,,
174,2019-01-06 13:00,5.4,,4.6,340,23,2.1,-14.1,1005.2,1025.6,1,,,,0,0,,,1820,,,6.1,,,,
174,2019-01-06 14:00,5.9,,5.4,340,23,2.1,-13.7,1005,1025.4,1,,,,0,0,,,1896,,,4.2,,,,
174,2019-01-06 15:00,6,,5.2,340,24,2.3,-13,1005,1025.4,1,,,,0,0,,,1967,,,2.6,,,,
174,2019-01-06 16:00,6,,4.7,320,26,2.4,-12.1,1005.1,1025.5,1,,,,0,0,,,1966,,,1.7,,,,
174,2019-01-06 17:00,4.6,,5.3,320,26,2.2,-13.3,1005.1,1025.6,.9,,,,0,0,,,1929,,,.3,,,,
174,2019-01-06 18:00,3,,3.4,340,32,2.4,-12.1,1005.9,1026.5,0,,,,0,0,,,1925,,,-1.2,,,,
174,2019-01-06 19:00,1.6,,3.2,340,39,2.7,-10.8,1006.7,1027.4,,,,,0,0,,,1828,,,-1.9,,,,
174,2019-01-06 20:00,.5,,2,290,48,3,-9.2,1006.8,1027.6,,,,,5,5,,65,1747,,,-2.4,,,,
174,2019-01-06 21:00,.1,,1.8,340,53,3.3,-8.3,1007.3,1028.2,,,,,7,7,,59,1817,,,-2.3,,,,
174,2019-01-06 22:00,-.1,,2.6,320,57,3.5,-7.6,1007.3,1028.2,,,,,9,9,,57,1871,,,-1.9,,,,
174,2019-01-06 23:00,-.4,,3.4,320,58,3.5,-7.6,1007.2,1028.1,,,,,9,9,,55,1887,,,-2,,,,
174,2019-01-07 00:00,-.6,,3.8,340,57,3.3,-8,1007.1,1028,,,,,7,6,,60,1886,,,-2.5,,,,
174,2019-01-07 01:00,-1,,3,320,60,3.4,-7.7,1006.9,1027.9,,,,,0,0,,,1877,,,-2.9,,,,
174,2019-01-07 02:00,-1,,2.9,320,59,3.3,-8,1007.1,1028.1,,,,,0,0,,,1899,,,-3,,,,
174,2019-01-07 03:00,-1.4,,1.8,340,62,3.4,-7.7,1006.9,1027.9,,,,,0,0,,,1932,,,-3.3,,,,
174,2019-01-07 04:00,-1.3,,2.4,340,62,3.5,-7.6,1006.8,1027.8,,,,,0,0,,,1905,,,-3.2,,,,
174,2019-01-07 05:00,-1.1,,2.1,340,59,3.3,-8.1,1006.8,1027.8,,,,,0,0,,,1909,,,-3.3,,,,
174,2019-01-07 06:00,-1.3,,3.9,320,64,3.6,-7.2,1007.2,1028.2,,,,,4,0,,,1876,,,-3.1,,,,
174,2019-01-07 07:00,-1.2,,3.5,320,72,4,-5.6,1007.5,1028.5,,,,,5,0,,,1620,,,-3,,,,
174,2019-01-07 08:00,-1.1,,3.2,290,74,4.2,-5.1,1007.3,1028.3,0,,,,6,0,,,1616,,,-2.5,,,,
174,2019-01-07 09:00,-.1,,3.9,320,69,4.2,-5.1,1007.8,1028.7,.9,,,,0,0,,,1615,,,-1,,,,
174,2019-01-07 10:00,1.5,,3.8,320,57,3.9,-6.1,1008.1,1028.9,1,,,,0,0,,,1736,,,.6,,,,
174,2019-01-07 11:00,3.2,,3.4,320,39,3,-9.4,1007.9,1028.5,1,,,,0,0,,,1926,,,2.1,,,,
174,2019-01-07 12:00,4.1,,3.7,340,43,3.5,-7.3,1006.6,1027.1,1,,,,2,0,,,1743,,,4.8,,,,
174,2019-01-07 13:00,4.2,,5,320,49,4.1,-5.5,1005.9,1026.4,1,,,,0,0,,,1439,,,5.4,,,,
174,2019-01-07 14:00,4.9,,4.4,320,49,4.2,-4.9,1005.3,1025.8,1,,,,0,0,,,1245,,,4.4,,,,
174,2019-01-07 15:00,5.7,,3.5,340,50,4.6,-3.9,1005.6,1026,1,,,,1,0,,,1093,,,3.1,,,,
174,2019-01-07 16:00,4.7,,4.2,340,50,4.3,-4.8,1005.5,1026,1,,,,6,6,,48,678,,,2.3,,,,
174,2019-01-07 17:00,3.7,,2.3,340,52,4.2,-5.2,1005.4,1025.9,.6,,,,0,0,,,706,,,-.4,,,,
174,2019-01-07 18:00,2.3,,2.8,320,60,4.3,-4.6,1005.6,1026.3,0,,,,6,2,,58,641,,,-.9,,,,
174,2019-01-07 19:00,1.6,,2.1,290,63,4.3,-4.6,1005.9,1026.6,,,,,8,3,,48,615,,,-1.4,,,,
174,2019-01-07 20:00,.3,,1.9,320,68,4.2,-4.9,1005.7,1026.5,,,,,6,6,,47,592,,,-2.1,,,,
174,2019-01-07 21:00,1,,2.5,320,66,4.3,-4.6,1005.5,1026.3,,,,,8,8,,47,602,,,-1.4,,,,
174,2019-01-07 22:00,.9,,2.5,320,67,4.4,-4.5,1005.7,1026.5,,,,,9,9,,46,594,,,-1.4,,,,
174,2019-01-07 23:00,1,,4.1,320,68,4.5,-4.2,1006.1,1026.9,,,,,9,9,,45,574,,,-.9,,,,
174,2019-01-08 00:00,.8,,3.7,320,70,4.5,-4,1005.7,1026.5,,,,,8,8,,44,535,,,-1.3,,,,
174,2019-01-08 01:00,.5,,3,320,72,4.6,-3.9,1005.3,1026.1,,,,,8,4,,40,525,,,-1.7,,,,
174,2019-01-08 02:00,.2,,2.8,320,74,4.6,-3.8,1005.8,1026.7,,,,,6,4,,68,507,,,-2.1,,,,
174,2019-01-08 03:00,.4,,2.8,320,74,4.6,-3.7,1005.8,1026.6,,,,,9,7,,41,553,,,-1.7,,,,
174,2019-01-08 04:00,.2,,2.9,320,77,4.8,-3.3,1005.6,1026.5,,,,,5,2,,67,562,,,-2.1,,,,
174,2019-01-08 05:00,.4,,2.6,320,77,4.9,-3.1,1005.6,1026.4,,,,,5,5,,59,557,,,-1.6,,,,
174,2019-01-08 06:00,.4,,2.5,320,77,4.9,-3.1,1005.5,1026.3,,,,,9,9,,56,546,,,-1.6,,,,
174,2019-01-08 07:00,.1,,2.9,290,77,4.8,-3.4,1006,1026.9,,,,,10,1,,55,519,,,-1.6,,,,
174,2019-01-08 08:00,.4,,3.3,290,77,4.9,-3.1,1005.8,1026.6,0,,,,10,5,,8,501,,,-1.5,,,,
174,2019-01-08 09:00,1.1,,3.4,320,73,4.8,-3.2,1006.1,1026.9,.7,,,,4,1,,8,542,,,-.5,,,,
174,2019-01-08 10:00,1.4,,3.7,320,70,4.8,-3.4,1006.4,1027.2,.7,,,,4,4,,8,579,,,.6,,,,
174,2019-01-08 11:00,2.4,,4.6,340,63,4.6,-3.9,1006.8,1027.5,.9,,,,2,1,,9,750,,,2.1,,,,
174,2019-01-08 12:00,2.6,,5.8,340,59,4.3,-4.6,1005.9,1026.5,1,,,,3,1,,,856,,,3.8,,,,
174,2019-01-08 13:00,4.1,,4.4,360,55,4.5,-4.1,1004.9,1025.4,1,,,,0,0,,,961,,,4.7,,,,
174,2019-01-08 14:00,4.7,,3.7,340,51,4.4,-4.5,1004.1,1024.6,1,,,,1,1,,13,1392,,,4.1,,,,
174,2019-01-08 15:00,3.6,,5.4,340,54,4.3,-4.8,1004.6,1025.1,1,,,,6,3,,68,1156,,,2.6,,,,
174,2019-01-08 16:00,1.9,,6.2,340,55,3.8,-6.2,1004.9,1025.6,1,,,,1,0,,,1195,,,.5,,,,
174,2019-01-08 17:00,1.2,,6.3,340,48,3.2,-8.6,1005.3,1026.1,.9,,,,0,0,,,1675,,,-.6,,,,
174,2019-01-08 18:00,-.1,,3.3,340,44,2.7,-10.9,1006.1,1027,0,,,,0,0,,,1906,,,-2,,,,
174,2019-01-08 19:00,-.8,,3.7,320,45,2.6,-11.2,1007,1027.9,,,,,0,0,,,1971,,,-2.4,,,,
174,2019-01-08 20:00,-1.5,,3.8,340,49,2.7,-10.8,1007.7,1028.7,,,,,0,0,,,1786,,,-2.7,,,,
174,2019-01-08 21:00,-1.8,,2.9,320,52,2.8,-10.3,1008.1,1029.1,,,,,0,0,,,1637,,,-2.8,,,,
174,2019-01-08 22:00,-1.9,,3.9,340,56,3,-9.5,1008.1,1029.2,,,,,10,4,,12,1499,,,-2.8,,,,
174,2019-01-08 23:00,-2,,3,320,66,3.5,-7.5,1008.1,1029.2,,,,,10,8,,10,1282,,,-2.2,,,,
174,2019-01-09 00:00,-2.2,,2.3,340,69,3.6,-7.1,1008.8,1029.9,,,,,10,9,,8,1352,,,-2.1,,,,
174,2019-01-09 01:00,-2.6,,3.6,340,64,3.2,-8.4,1009.9,1031.1,,,,,10,4,,73,1812,,,-2.9,,,,
174,2019-01-09 02:00,-3.2,,4.2,340,61,3,-9.6,1010.5,1031.7,,,,,10,9,,73,1883,,,-2.9,,,,
174,2019-01-09 03:00,-3.7,,2.9,320,61,2.8,-10.1,1011.4,1032.7,,,,,10,6,,65,1933,,,-3.1,,,,
174,2019-01-09 04:00,-4.4,,2.1,340,62,2.8,-10.5,1012,1033.4,,,,,10,6,,70,1813,,,-3.3,,,,
174,2019-01-09 05:00,-5,,3.1,340,55,2.3,-12.6,1012,1033.4,,,,,9,6,,74,1824,,,-3.6,,,,
