unemp,hours,income,age,education
8,0,291,51,12
8,630,270,29,12
4,0,930,35,16
4,2570,350,39,13
4,1970,61,22,13
4,0,590,43,14
5,511,320,44,14
9,2033,197,27,14
4,390,151,23,10
4,1680,280,34,12
4,1120,129,29,12
9,688,39,25,14
9,0,88,39,9
9,1960,363,39,12
8,0,358,48,15
4,0,352,60,11
4,2783,320,36,14
7,1480,290,34,16
5,1480,185,33,12
7,1392,190,30,12
7,1652,196,32,14
4,1826,280,27,16
7,1600,260,49,17
5,1240,100,26,12
6,0,297,59,12
9,456,242,30,14
10,1320,401,33,16
5,1882,250,28,12
5,263,254,40,12
5,2683,333,31,16
5,1966,418,61,12
5,109,161,24,14
5,1920,42,28,13
6,0,265,26,13
5,856,172,52,16
5,2040,71,27,16
3,2088,1000,33,12
4,2066,188,20,12
4,1560,178,28,12
3,0,4553,45,14
3,1730,1087,49,12
6,1408,211,35,10
6,1912,290,39,12
5,2100,136,43,12
3,2003,400,21,12
10,780,324,23,14
5,2000,360,43,12
5,250,2221,43,16
4,816,700,37,16
5,1387,423,40,16
3,0,713,31,17
3,0,470,28,13
2,0,186,62,12
6,1696,181,21,12
9,2568,293,40,12
7,1503,111,21,12
7,1984,40,50,12
7,256,695,33,16
4,164,1608,39,17
4,0,272,64,16
5,0,327,24,9
5,2400,446,43,12
5,1908,63,21,12
7,2625,-73,41,15
4,2706,522,28,12
11,2071,178,21,13
7,0,150,26,12
7,1544,41,44,12
3,1491,177,30,16
5,0,698,54,13
4,1744,370,41,16
3,2000,379,41,10
2,1214,140,21,16
3,1575,252,43,12
3,1810,123,24,14
3,694,357,47,9
3,2070,125,22,12
6,576,192,43,16
5,1276,654,42,17
3,1219,190,38,13
5,1150,208,43,12
5,1920,423,56,12
5,0,480,27,12
5,1285,302,33,16
5,694,574,31,16
5,911,704,58,15
5,1784,870,36,14
6,1664,226,32,12
5,1317,681,59,16
3,120,832,35,14
3,791,100,29,12
5,1960,415,57,8
5,1100,216,45,13
5,1653,231,29,12
5,0,158,57,8
2,1880,260,24,10
4,0,290,22,10
8,0,309,23,11
5,0,311,49,14
5,2241,99,26,16
3,1747,268,36,12
6,2000,192,39,13
4,2040,430,34,10
2,1266,407,41,14
4,0,177,19,14
9,848,129,39,11
9,2700,200,27,15
6,0,606,32,17
9,2217,160,23,14
4,1456,766,46,15
8,0,70,47,8
7,1968,2,28,10
9,88,48,59,7
8,2250,264,20,12
7,1280,585,46,14
7,1960,407,26,13
7,1566,437,39,17
5,1494,310,38,16
8,0,530,54,15
7,1470,320,28,13
3,1034,413,35,16
3,0,495,61,12
11,1666,162,39,16
5,1768,254,40,17
8,0,220,21,11
5,1955,284,49,12
6,2107,355,30,15
5,1912,370,36,14
7,1750,215,22,12
3,0,657,37,16
3,0,280,31,15
3,1610,383,55,12
3,650,200,29,12
3,1112,187,28,12
3,1384,340,30,15
7,1184,657,55,12
7,94,353,30,12
4,2048,291,41,16
5,0,527,60,12
5,1960,56,33,12
5,0,315,30,12
2,0,1063,50,16
2,1992,366,52,12
4,1576,48,24,13
3,2040,250,31,14
4,2024,113,19,12
3,1501,321,39,17
4,708,342,37,12
4,1800,300,36,12
4,1832,461,39,12
3,2430,397,48,13
5,0,320,30,12
5,2205,437,37,12
5,0,322,30,16
5,312,570,52,12
3,1000,575,44,13
4,1408,410,41,12
6,2160,380,37,12
6,0,218,54,9
6,1911,140,28,10
6,832,69,32,11
6,2103,277,35,13
6,1912,348,34,14
6,0,232,49,11
6,1556,185,37,14
2,0,106,38,12
2,0,270,24,12
7,0,91,25,12
3,3060,162,27,13
3,2144,290,27,11
12,1444,108,26,12
9,1912,338,39,12
1,1152,320,54,8
1,363,60,19,11
11,1831,217,38,12
9,820,113,18,12
9,1928,415,38,12
9,2450,400,26,10
9,416,459,45,16
9,600,210,24,9
4,2352,129,55,12
4,1430,154,24,17
7,2340,253,38,12
7,2050,206,31,12
7,0,192,34,12
5,0,440,41,12
5,1960,410,31,12
5,0,601,56,14
4,1152,526,27,16
5,576,600,33,17
7,0,890,37,14
6,1428,600,34,16
2,1701,320,39,12
3,30,451,39,12
5,735,618,53,12
5,1080,110,32,14
5,390,170,25,12
7,870,247,31,16
7,1740,242,37,16
10,1638,289,27,16
5,1062,113,35,17
5,416,135,59,12
5,1734,220,28,12
5,0,262,25,12
5,0,606,49,8
5,0,45,29,7
5,60,46,22,8
5,2000,88,56,9
4,1656,254,35,12
5,0,49,29,12
5,2132,238,31,12
10,2070,164,36,8
7,2180,253,20,10
10,1168,49,25,12
10,0,354,48,11
8,0,1151,27,14
11,740,230,21,13
6,0,335,46,14
6,2076,217,31,12
11,0,369,55,10
5,600,415,38,16
11,2000,110,26,12
11,0,486,58,12
11,0,530,34,14
2,1944,5,34,12
2,2020,246,31,15
2,992,861,39,15
2,2080,412,40,16
2,1724,198,31,12
2,0,111,62,11
2,1960,157,26,12
2,1480,213,29,12
2,0,180,28,12
2,1000,440,47,8
2,357,294,54,16
6,0,290,57,11
6,1960,284,27,13
8,2000,590,33,12
8,344,383,35,12
6,1372,485,36,12
8,0,750,38,16
5,1575,453,62,12
4,1829,176,36,16
4,940,277,59,12
5,1801,635,55,12
6,36,94,33,11
5,0,45,55,9
6,860,311,25,12
5,2405,280,44,17
6,2061,330,23,16
4,1095,370,29,14
5,0,363,27,12
2,1608,109,56,12
7,312,302,37,16
6,1992,280,36,15
3,2496,490,31,12
5,0,394,47,14
4,0,780,42,16
6,1280,127,30,16
5,2000,285,37,12
6,0,544,51,12
6,2160,346,24,16
5,2142,327,27,16
4,0,393,59,12
7,1760,284,29,12
7,0,214,61,12
5,1410,289,57,16
5,2315,464,28,16
6,1984,204,30,14
6,1845,189,28,13
6,1428,187,25,12
6,1075,441,46,13
10,1214,315,25,12
8,1480,285,37,13
3,1840,50,51,12
3,1936,382,39,13
2,1453,240,40,16
3,1435,123,38,17
2,2000,236,64,12
2,1813,272,28,16
2,1857,300,37,17
3,0,200,34,14
5,0,1116,38,17
3,0,334,32,17
5,2000,300,31,14
5,0,136,59,5
3,1850,545,37,17
3,0,380,37,17
6,1836,58,24,16
3,2115,769,46,17
4,1000,815,29,15
4,151,630,32,13
4,949,1830,54,12
3,1141,320,34,17
5,1468,670,34,16
6,0,401,27,13
7,1561,485,42,12
7,2060,165,21,12
7,1764,97,59,12
7,2040,65,63,8
3,1902,351,25,16
8,1828,150,23,12
8,1440,560,55,17
3,0,518,32,16
5,3000,60,57,12
2,768,590,45,14
3,0,130,32,12
4,1816,395,57,14
4,2080,240,27,13
7,2120,218,46,16
9,2073,437,56,13
8,2562,236,25,12
6,1853,380,42,13
6,1825,309,43,12
8,1080,670,42,12
3,2016,200,25,12
5,1115,120,27,12
3,1696,304,34,11
3,0,300,30,12
3,2362,190,27,10
3,704,226,27,12
2,348,2340,58,17
6,0,251,58,17
5,0,215,30,13
5,0,127,61,10
4,1576,369,46,11
4,2221,184,25,12
9,432,200,24,12
9,2205,391,25,14
5,1733,225,37,12
5,0,298,31,14
6,2085,430,56,17
6,1780,261,36,16
6,0,427,55,12
3,0,752,34,15
11,0,102,41,5
8,2281,137,24,12
2,300,800,45,13
4,160,366,35,12
4,396,131,32,12
2,478,470,36,17
3,0,912,40,17
10,0,162,45,10
10,1512,110,22,12
7,1560,220,39,17
7,494,2099,37,16
7,0,267,34,9
7,5,114,19,9
5,1594,91,24,16
7,205,660,57,16
7,1378,230,30,12
6,1624,290,35,17
7,1149,270,22,11
7,0,446,29,16
7,0,307,24,11
7,1816,720,32,13
7,2160,46,29,16
5,0,405,38,12
5,0,564,63,12
5,1935,308,49,12
5,425,280,38,12
4,1717,188,24,12
8,1400,90,23,12
3,1715,215,23,13
3,1048,290,33,16
3,0,420,52,11
3,1764,230,24,13
10,0,351,47,11
10,0,71,24,12
11,0,232,63,12
11,42,500,36,13
6,0,625,38,17
6,962,280,38,12
3,1890,300,26,16
6,1923,412,28,12
3,1023,609,54,16
6,2080,309,26,14
6,1750,255,38,14
5,0,336,41,16
4,0,172,56,15
4,0,840,59,17
5,1388,325,35,16
7,2310,91,24,14
5,0,207,60,12
5,725,345,34,16
5,290,221,31,12
6,1584,326,42,15
8,1848,122,27,12
7,0,520,39,17
7,0,355,58,11
7,0,281,35,12
7,0,277,37,11
4,1972,101,27,12
4,1586,69,61,12
4,1702,122,27,12
8,2040,135,24,12
5,0,380,51,12
2,520,220,33,13
2,1553,200,44,12
2,0,332,23,12
7,988,203,43,14
9,1319,124,21,12
9,854,327,42,12
9,1660,189,23,12
7,1840,172,21,12
7,2480,366,40,12
8,1470,354,41,13
8,0,255,39,10
6,2379,586,46,16
6,1944,462,30,12
6,0,313,62,17
7,0,616,38,17
5,552,713,41,17
6,2250,2700,36,17
9,1388,584,41,12
4,0,836,49,16
5,2560,292,25,16
5,2420,455,36,16
4,1242,368,30,16
2,1528,800,41,17
5,2480,0,26,16
5,2080,210,33,12
4,1960,142,35,16
4,2400,458,39,12
3,2000,260,48,13
4,2074,249,33,16
5,1175,308,54,11
3,1996,335,34,16
3,1953,96,48,14
3,1992,456,49,12
7,0,604,34,14
7,0,334,32,12
7,0,360,32,12
7,0,897,55,13
6,2160,668,28,15
6,2214,218,51,14
9,1968,284,24,13
3,2000,312,28,16
5,2000,260,26,14
5,2805,223,27,12
3,1750,456,27,14
3,0,500,47,12
3,1292,677,50,17
3,0,104,38,11
6,384,1456,52,12
9,1440,346,38,16
4,1744,253,29,16
5,0,248,63,10
5,1245,427,38,12
5,990,224,35,12
5,780,150,33,12
5,1826,285,58,12
5,2080,50,47,11
5,2000,144,25,12
5,2000,170,30,12
5,0,395,58,10
6,192,211,35,12
5,1992,70,31,12
5,1192,500,25,11
5,2000,327,46,11
6,1944,337,38,16
6,2464,328,31,17
5,96,405,32,16
6,1480,350,56,12
4,0,703,37,16
5,792,436,47,12
5,0,988,56,12
6,1316,283,28,17
5,0,376,34,13
5,432,433,32,12
3,1715,1138,51,12
5,0,84,63,12
5,1680,364,29,16
3,1176,643,54,12
10,2000,262,64,12
2,0,740,39,12
10,2461,130,31,12
10,2000,301,53,12
10,1999,200,25,12
6,2012,264,23,14
6,1710,303,29,13
6,1960,612,55,13
6,1954,310,32,15
6,1335,393,35,12
11,1984,695,43,17
4,1950,356,41,12
4,750,329,23,16
7,0,1231,39,12
5,1900,251,31,14
7,0,680,61,15
3,0,410,26,12
3,1100,584,46,11
2,0,7220,56,16
2,2101,510,35,17
2,0,539,25,16
7,2750,238,28,16
6,1638,623,35,16
8,0,390,60,12
8,1920,365,35,12
8,1216,190,62,12
4,2295,260,37,10
7,1984,253,36,12
5,2250,191,26,15
5,1600,749,43,17
8,1567,221,40,10
5,0,690,36,12
4,1512,138,28,16
4,0,150,48,6
4,1248,253,39,12
1,520,635,40,12
5,0,650,59,12
3,1977,407,34,17
9,1080,395,23,15
2,0,531,31,16
3,2500,288,25,17
3,274,630,33,17
3,1191,280,28,14
3,0,1192,64,14
4,0,400,44,14
4,1720,250,34,15
9,0,570,59,9
9,0,35,47,10
9,120,250,63,10
7,0,250,54,10
12,2986,35,29,16
6,0,130,25,11
6,0,382,54,12
4,2429,250,31,12
6,0,360,31,13
2,1804,157,23,12
2,1462,59,21,12
4,1830,337,36,13
4,689,242,40,10
6,2352,100,22,12
5,2040,150,29,11
11,922,121,20,11
11,0,149,42,9
7,2227,152,31,13
8,0,287,33,10
4,0,102,57,8
4,0,275,31,14
4,0,298,34,10
5,2000,209,25,12
4,1848,193,25,9
4,1560,200,26,12
4,0,55,31,6
9,113,287,29,12
4,2352,140,27,12
4,50,189,52,11
4,704,441,31,12
4,2092,193,28,12
3,2134,154,33,11
5,2050,341,35,14
4,2130,162,23,12
8,0,388,38,16
11,1568,333,37,10
11,1166,76,21,12
5,0,115,22,12
5,2080,160,29,12
7,2166,180,29,13
7,761,292,29,12
4,1828,154,35,10
4,1883,273,43,9
3,0,342,25,12
3,95,370,36,16
5,0,200,32,16
4,0,434,64,15
5,925,537,30,16
9,0,245,26,12
9,1008,140,24,12
9,1344,558,42,9
3,240,355,40,17
8,258,240,32,12
6,0,781,45,16
8,2484,115,43,17
3,1771,581,42,12
6,0,70,48,12
5,2065,41,23,13
2,330,343,57,12
4,2072,163,33,10
6,0,84,27,11
6,0,130,31,13
9,184,430,24,13
7,1480,266,26,16
9,0,432,48,10
11,0,310,50,11
4,0,311,26,12
5,2000,160,31,9
5,2035,80,57,9
5,424,485,39,13
5,1947,144,34,12
5,1905,119,58,9
11,0,580,37,11
11,0,106,54,12
11,960,380,33,13
6,1632,293,45,12
6,190,592,45,14
4,94,214,23,14
5,570,815,44,16
6,1960,345,33,12
6,1875,185,54,12
6,2224,155,26,11
4,0,135,54,12
6,1896,319,41,17
4,175,299,40,15
3,2000,66,40,12
3,1755,310,41,17
5,0,3136,36,16
3,588,1028,61,17
3,1250,346,38,9
4,2040,153,28,9
4,1040,94,26,12
4,0,122,26,12
4,2080,215,26,8
5,0,320,45,12
3,1512,130,23,12
6,2250,121,23,14
4,1920,60,53,11
5,569,250,22,14
6,1976,320,40,14
7,2108,231,31,14
5,0,384,50,8
5,1989,287,26,12
5,0,378,54,12
5,1144,170,26,16
5,0,360,55,8
5,2040,160,36,12
6,2030,125,23,12
5,0,131,19,11
5,1048,35,51,12
5,1216,0,21,15
4,0,413,41,12
9,1628,164,24,11
7,2084,340,36,12
3,1838,1152,47,17
6,1944,265,60,7
6,2000,426,33,12
3,0,290,36,15
6,955,301,32,12
3,0,573,60,12
6,1468,194,33,9
6,0,338,35,11
6,0,301,30,12
6,2100,324,31,14
6,2000,192,28,13
1,2060,270,26,14
1,0,562,35,10
5,1736,528,40,12
10,0,511,38,8
11,1715,80,19,11
11,696,127,20,10
5,1505,320,29,14
6,2184,300,48,10
6,120,288,42,12
5,2450,236,33,14
5,3380,293,35,16
4,2094,369,37,16
3,1989,302,59,10
4,1546,383,31,16
4,0,380,33,13
3,698,320,23,12
3,906,323,27,14
6,2059,210,25,14
6,990,267,51,11
5,1084,460,32,12
6,0,231,25,14
8,2551,174,51,17
8,1408,355,37,17
7,1930,293,29,13
5,1434,563,34,17
5,816,345,34,17
6,2000,280,39,12
7,0,254,64,7
5,0,139,60,16
10,0,315,32,17
6,1984,467,37,16
9,216,503,33,15
6,0,800,40,16
2,1960,330,38,14
8,2013,486,44,17
11,528,340,26,12
7,2295,136,36,12
6,0,522,35,10
6,2000,135,23,12
6,864,120,31,12
6,1680,244,36,14
6,2100,242,60,0
6,768,108,18,12
4,1912,235,27,12
3,640,233,29,12
3,1896,135,28,12
4,1699,157,29,11
3,2130,330,36,14
4,975,117,59,9
4,1750,552,32,12
5,0,132,64,13
6,2500,204,33,17
4,294,324,40,13
4,2184,180,20,12
3,2080,214,55,12
4,808,445,49,12
6,2040,130,24,16
6,1440,151,29,16
6,2000,230,24,12
8,0,276,62,9
7,0,343,48,12
8,1920,114,27,12
8,0,537,55,12
6,1918,411,27,12
9,2048,434,46,14
9,0,342,33,12
6,0,349,47,12
6,156,287,26,12
6,1044,212,29,14
6,0,31,64,11
8,0,380,26,14
8,1786,150,28,14
7,0,430,63,11
9,0,275,46,14
9,1463,300,31,12
9,2098,404,29,12
3,0,285,28,16
3,2070,340,32,16
3,1813,460,34,12
5,2000,146,26,13
3,0,770,61,12
3,416,250,28,14
7,1012,250,35,17
5,2160,192,25,16
3,2356,420,46,14
6,2020,318,32,12
6,1150,353,39,16
5,0,713,41,12
6,1024,110,34,12
6,0,440,56,12
6,2080,160,27,12
7,0,630,54,10
3,1208,333,23,12
8,1785,382,43,12
3,2032,432,33,14
3,1285,385,26,17
3,700,1250,52,17
4,1928,216,46,12
4,952,562,23,12
3,1808,832,48,12
3,1042,853,52,14
4,140,310,38,17
2,0,1480,42,16
7,0,399,37,12
3,1512,121,34,16
3,0,290,58,12
3,1856,250,33,12
