kids,prestige,mentor
1,2,9
1,1.679999948,27
0,3.470000029,0
0,2.200000048,2
1,2.119999886,10
0,1.399999976,14
0,3.359999895,3
2,4.289999962,24
1,2.099999905,0
0,4.289999962,5
0,4.289999962,0
0,2.829999924,1
1,2.579999924,6
0,3.150000095,7
0,4.289999962,2
0,2.960000038,0
2,3.589999914,5
0,2.390000105,15
0,1.25,2
0,2.75999999,1
0,3.400000095,13
0,4.289999962,7
0,3.690000057,4
0,2.859999895,13
0,4.289999962,3
0,4.139999866,2
0,2.390000105,2
2,2.859999895,11
0,2.960000038,7
0,3.589999914,8
1,1.809999943,5
1,4.289999962,2
1,2.099999905,0
0,3.190000057,0
2,4.289999962,2
0,4.289999962,2
2,3.400000095,0
0,4.289999962,35
2,2.319999933,5
0,1.679999948,5
0,2.579999924,0
0,3.690000057,3
2,3.410000086,7
0,2.319999933,0
1,3.690000057,8
0,2.539999962,4
1,1.75999999,4
1,4.289999962,13
3,2.099999905,0
1,3.089999914,12
0,3.359999895,6
0,2.099999905,0
1,3.75,7
0,2.140000105,6
0,4.289999962,22
0,2,2
0,2,4
1,2,16
1,2.609999895,6
0,4.25,12
0,2.359999895,14
0,4.289999962,11
0,2.099999905,2
0,2.869999886,5
0,3.470000029,3
0,1.779999971,1
0,4.139999866,15
3,4.289999962,0
0,4.289999962,3
0,1.809999943,10
0,2.319999933,15
0,2.609999895,7
0,1.679999948,34
0,3.190000057,3
1,3.589999914,5
0,2.5,0
0,3.400000095,6
0,2.25999999,4
0,3.400000095,12
1,3.920000076,0
2,2.960000038,0
0,4.289999962,15
0,4.289999962,11
1,3.319999933,24
0,1.860000014,15
0,2.869999886,6
0,1.639999986,22
0,2.25,7
0,2.099999905,8
0,4.289999962,6
0,1.75,3
0,2.960000038,8
0,2.25,4
2,4.25,20
2,2.559999943,22
0,3.190000057,11
2,3.920000076,2
1,1.779999971,77
0,3.400000095,14
1,1.74000001,4
0,4.289999962,6
0,2,6
0,2.869999886,18
0,4.289999962,6
0,3.190000057,2
1,1.220000029,1
2,3.539999962,17
1,4.289999962,1
1,4.619999886,3
0,2,6
0,3.589999914,3
0,3.190000057,6
1,3.400000095,2
0,1.279999971,2
2,1.74000001,4
1,2.25999999,1
0,3.589999914,5
1,4.619999886,16
0,1.399999976,2
0,0.920000017,4
1,2.390000105,3
0,2.25999999,1
2,2.859999895,7
2,2.75999999,8
1,1.629999995,8
2,4.289999962,12
0,1.399999976,3
0,2.119999886,0
1,2.609999895,6
0,1.799999952,1
0,4.289999962,21
0,3.690000057,18
0,4.619999886,16
0,2.150000095,10
2,2.099999905,0
0,2,5
0,1.254999995,0
2,1.75,2
0,3.849999905,2
0,4.25,4
0,3.470000029,3
1,3.920000076,8
2,2.50999999,3
0,1.399999976,12
1,2,11
0,2,10
0,4.289999962,2
0,3.359999895,10
0,4.619999886,1
1,2.559999943,16
0,4.619999886,18
0,3.589999914,10
2,4.289999962,6
0,3.589999914,8
0,4.289999962,6
0,3.190000057,3
0,3.589999914,1
0,2.960000038,19
0,2.579999924,2
3,2.960000038,6
0,4.539999962,13
1,4.539999962,10
2,2.5,4
0,1.679999948,8
0,2.319999933,4
3,3.190000057,9
0,2.210000038,2
0,1.25,5
0,4.139999866,5
0,4.619999886,4
0,4.539999962,37
0,3.150000095,9
0,4.289999962,11
0,1.950000048,3
0,2,9
0,4.539999962,2
2,2.579999924,2
0,3.849999905,29
1,3.410000086,10
1,2.25999999,9
0,4.25,2
1,3.589999914,6
1,2.119999886,9
0,2.960000038,7
0,2.519999981,0
0,2.25999999,4
0,4.539999962,9
2,2.859999895,7
0,4.539999962,2
0,3.589999914,12
0,4.619999886,18
3,1.669999957,3
2,1.75,1
1,2.829999924,5
3,3.150000095,11
1,3.589999914,9
0,3.75,24
0,2.049999952,17
0,4.289999962,0
2,4.289999962,0
0,2.390000105,7
1,4.539999962,3
0,2.319999933,4
0,4.289999962,25
1,3.690000057,5
0,4.289999962,9
0,3.920000076,2
0,2.75999999,5
0,2.75999999,6
2,3.619999886,4
1,4.289999962,14
0,2.869999886,12
1,2.390000105,9
0,4.289999962,14
0,1.779999971,4
1,2.099999905,8
0,2.25,3
1,2.25999999,5
0,1.860000014,5
0,3.920000076,4
0,4.340000153,10
0,3.359999895,4
0,2.50999999,1
0,3.75,21
1,4.539999962,45
0,1.629999995,8
0,4.619999886,10
0,1.519999981,2
0,2.549999952,11
0,1.179999948,1
2,3.089999914,9
0,4.619999886,5
0,2.319999933,1
0,2.049999952,3
0,4.289999962,1
0,3.400000095,2
0,4.289999962,10
1,3.589999914,2
0,3.359999895,5
0,2.049999952,13
0,3.589999914,32
0,3.849999905,18
0,3.359999895,0
0,1.75,0
0,3.470000029,3
1,2.609999895,4
0,2.75999999,4
2,4.289999962,9
0,1.399999976,3
0,4.619999886,18
1,2.859999895,17
1,2.859999895,17
0,2.859999895,39
0,2,7
0,1.75999999,8
0,2.5,0
0,4.289999962,17
0,2.559999943,16
1,3.539999962,14
0,3.690000057,1
0,2.869999886,5
0,1.654999971,0
1,4.340000153,4
0,3.539999962,11
2,4.289999962,10
0,1.809999943,0
0,3.400000095,7
1,1.809999943,5
0,3.190000057,18
1,2.319999933,5
0,4.539999962,19
1,4.289999962,2
1,2.859999895,2
1,2.859999895,2
1,1.220000029,0
0,2.099999905,0
1,1.679999948,12
0,3.359999895,34
0,2.869999886,15
1,3.470000029,1
0,2.75999999,7
1,3.539999962,21
0,1.950000048,11
1,3.589999914,19
0,3.190000057,3
0,2.75999999,2
2,4.289999962,13
2,3.190000057,5
0,2.960000038,0
1,2.75999999,7
0,1.809999943,11
0,3.359999895,4
0,3.089999914,14
0,3.75,8
0,4.539999962,10
0,1.629999995,6
0,3.089999914,2
0,3.690000057,4
0,2.119999886,2
0,2.25999999,3
1,4.289999962,2
1,1.74000001,4
2,2.960000038,8
0,2.579999924,5
1,4.539999962,10
0,4.619999886,12
1,4.289999962,13
0,4.539999962,13
0,3.589999914,0
0,4.289999962,5
0,3.690000057,26
0,3.210000038,0
1,3.470000029,11
0,4.539999962,37
0,1.950000048,4
2,2.960000038,46
1,4.539999962,53
0,3.400000095,9
0,2.099999905,4
2,4.289999962,8
0,3.75,5
0,2.049999952,2
1,2.5,2
1,4.619999886,17
0,1.799999952,10
0,3.089999914,0
0,4.289999962,10
2,1.799999952,6
0,3.589999914,5
0,2.75999999,3
0,4.139999866,16
0,3.589999914,3
0,4.539999962,12
0,0.920000017,0
0,4.289999962,15
1,2.390000105,4
0,1.179999948,0
2,4.539999962,2
2,3.849999905,47
2,2.960000038,21
0,3.359999895,8
0,3.190000057,5
1,3.690000057,15
0,1.629999995,8
0,1.720000029,1
0,2.579999924,5
0,1.519999981,5
0,2.859999895,4
2,1.220000029,4
0,2.539999962,4
0,3.359999895,4
2,2.869999886,20
1,3.150000095,7
0,4.619999886,14
1,1.75999999,7
1,1.519999981,3
0,4.289999962,5
2,4.289999962,10
1,2.559999943,5
0,4.539999962,29
0,1.860000014,5
0,4.289999962,1
0,3.920000076,7
0,2.25999999,2
1,4.289999962,14
1,3.690000057,10
2,1.970000029,0
1,3.190000057,10
0,4.539999962,5
0,4.289999962,25
0,2.829999924,1
3,4.340000153,7
0,3.359999895,3
0,3.410000086,14
0,2.859999895,3
0,4.289999962,24
1,2.75999999,8
0,3.75,0
1,4.289999962,12
2,2.210000038,12
0,3.539999962,21
0,2.960000038,2
0,2.119999886,2
0,2.390000105,4
0,3.190000057,5
0,1.970000029,8
0,4.539999962,9
0,2.549999952,36
0,1.75999999,0
2,4.340000153,17
0,2.519999981,16
1,2.559999943,7
0,4.539999962,10
0,1.399999976,0
2,3.319999933,27
0,2.50999999,5
2,2.579999924,3
2,3.539999962,16
0,4.539999962,11
0,4.289999962,17
0,4.340000153,5
1,3.470000029,4
0,3.470000029,5
2,2.5,5
3,2,8
0,3.920000076,10
0,4.619999886,23
0,3.089999914,6
0,2.319999933,4
0,4.289999962,21
0,3.359999895,7
0,3.690000057,5
0,4.289999962,17
0,3.589999914,11
0,4.289999962,13
1,3.210000038,7
0,2.25999999,8
0,2.5,0
0,2.25999999,3
0,3.75,4
0,4.289999962,4
0,3.190000057,11
1,2,7
0,3.089999914,1
1,3.589999914,2
0,4.340000153,11
0,2.869999886,9
0,2.099999905,2
0,2.829999924,26
1,2.099999905,3
1,1.779999971,1
0,2.50999999,0
1,2.519999981,10
1,3.400000095,4
1,3.089999914,3
0,4.289999962,13
0,2.960000038,8
2,3.589999914,11
0,4.539999962,55
0,3.589999914,11
1,3.420000076,3
1,4.289999962,4
0,3.190000057,4
1,4.289999962,11
0,4.619999886,3
2,1.860000014,6
0,4.619999886,8
2,4.539999962,48
0,3.75,8
0,1.75999999,0
0,3.410000086,31
0,2.549999952,24
1,1.25,2
0,1.480000019,9
0,2.829999924,3
0,4.289999962,6
0,3.190000057,10
0,1.399999976,0
2,3.210000038,2
0,4.619999886,9
0,1.450000048,7
1,3.339999914,4
0,4.539999962,23
2,4.289999962,30
0,3.690000057,7
0,2.579999924,2
1,4.539999962,7
1,4.539999962,6
0,4.289999962,9
0,4.289999962,12
0,3.75,0
0,4.619999886,8
2,4.539999962,31
0,3.089999914,5
1,1.950000048,14
1,3.589999914,3
1,2.609999895,5
0,2.869999886,12
0,4.289999962,30
0,3.410000086,19
1,2.319999933,5
0,2.119999886,3
0,4.539999962,37
0,2.960000038,8
0,2.869999886,12
0,2.319999933,4
2,1.799999952,6
0,2.390000105,11
1,4.619999886,14
0,4.289999962,10
0,4.539999962,5
0,3.589999914,16
2,4.289999962,0
1,2.960000038,5
2,4.289999962,25
1,4.289999962,18
1,2.539999962,6
0,3.920000076,0
0,2.319999933,8
0,4.619999886,22
0,3.75,6
2,1.950000048,3
1,1.799999952,4
0,2.75999999,8
0,3.589999914,7
0,4.25,20
2,2.829999924,7
0,2.519999981,4
0,1.179999948,0
0,3.359999895,11
0,4.289999962,21
1,4.619999886,49
0,2.829999924,8
0,3.690000057,24
0,2.25999999,12
0,2.049999952,5
1,4.289999962,19
0,1.419999957,3
2,1.889999986,16
0,3.690000057,26
0,2.960000038,22
1,1.860000014,1
0,2.25999999,6
0,4.289999962,15
0,3.150000095,4
0,2.609999895,0
0,4.539999962,3
1,2.210000038,10
0,1.779999971,0
1,3.619999886,5
0,3.920000076,0
0,4.619999886,10
0,2.609999895,5
1,3.359999895,3
0,3.690000057,12
0,3.470000029,14
0,1.25,4
0,4.619999886,18
1,3.589999914,14
0,3.359999895,2
0,4.289999962,38
0,3.539999962,12
2,2.579999924,2
0,1.519999981,3
0,3.470000029,8
0,4.619999886,14
0,3.539999962,25
2,2.099999905,4
2,1.379999995,8
1,3.089999914,5
3,2.859999895,3
0,4.289999962,5
1,1.220000029,3
0,2.829999924,5
0,4.539999962,16
0,4.289999962,22
0,4.289999962,7
0,3.539999962,9
0,2.519999981,6
0,1.399999976,3
0,4.340000153,6
1,2.50999999,2
0,4.289999962,2
1,2.960000038,0
0,3.849999905,47
0,4.539999962,5
0,3.400000095,5
0,3.410000086,21
1,2.960000038,57
0,3.539999962,5
2,1.720000029,2
2,2.859999895,15
2,4.539999962,66
1,1.75999999,11
2,1.860000014,15
0,3.470000029,4
0,3.410000086,7
0,1.809999943,10
2,2.049999952,13
0,4.619999886,18
0,2.25999999,3
1,1.860000014,47
1,4.289999962,4
2,3.539999962,2
0,4.289999962,30
0,2.539999962,11
0,4.25,13
0,2.5,10
1,3.539999962,12
0,3.190000057,8
2,4.539999962,21
0,2.859999895,39
0,2.579999924,14
0,1.279999971,4
0,3.210000038,14
0,2.869999886,6
0,3.339999914,11
0,3.150000095,8
0,2.319999933,8
0,4.289999962,19
0,3.690000057,7
1,2.549999952,21
0,4.619999886,3
0,2.359999895,5
1,4.25,29
1,4.289999962,5
0,3.190000057,7
0,3.190000057,3
0,2.559999943,23
0,1.75999999,7
1,2.579999924,25
0,3.410000086,4
0,3.589999914,9
0,1.779999971,4
0,3.75,3
2,3.690000057,16
0,3.619999886,5
0,1.504999995,4
2,2.579999924,6
0,2.869999886,15
0,2.25999999,16
0,3.75,13
2,3.849999905,15
1,3.150000095,5
1,3.150000095,27
0,4.340000153,6
0,4.25,12
0,3.359999895,11
0,3.589999914,14
1,2.579999924,25
1,3.589999914,21
1,2.960000038,4
0,4.539999962,13
0,4.289999962,30
0,2.869999886,12
0,4.539999962,15
1,3.849999905,1
0,2.5,4
1,3.470000029,0
0,2.859999895,24
0,4.619999886,0
1,4.539999962,53
0,1.25,2
0,3.210000038,19
1,1.75999999,11
0,2.579999924,6
0,3.619999886,3
1,4.619999886,8
0,2.099999905,36
2,1.860000014,38
0,4.340000153,9
0,4.289999962,24
2,2.50999999,11
1,2.960000038,13
0,4.289999962,18
0,3.400000095,14
0,4.539999962,12
1,3.849999905,16
0,3.150000095,9
0,4.539999962,15
0,3.470000029,6
0,4.289999962,1
0,1.970000029,4
0,3.319999933,6
0,3.589999914,1
0,2.539999962,6
0,3.410000086,20
1,1.970000029,0
0,3.150000095,9
0,4.619999886,15
0,4.539999962,42
0,3.690000057,9
0,4.340000153,19
0,4.289999962,19
1,3.589999914,27
0,3.690000057,19
0,2.50999999,11
1,2.960000038,23
1,1.860000014,47
0,3.589999914,18
2,2.859999895,7
1,4.289999962,35
1,1.860000014,5
0,1.74000001,21
0,1.860000014,42
