filename,vis,type,task,taskNum
Friendly,scatter,size,다음 데이터를 클러스터링 하시오,3
FrozenJuice,scatter,base,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
FrozenJuice,scatter,shape,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
fruitohms,scatter,base,다음 데이터를 클러스터링 하시오,3
fruitohms,scatter,shape,다음 데이터를 클러스터링 하시오,3
Gasoline_2,scatter,base,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
Gasoline_2,scatter,shape,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
Gasoline,scatter,base,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
Gasoline,scatter,size,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
Longley,scatter,base,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
Longley,scatter,size,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
Quartet,scatter,base,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
Quartet,scatter,shape,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
Color_1,map,base,값이 가장 높은 지역의 위치적 특징이 존재합니까? 존재한다면 값이 가장 높은 지역의 위치적 특징을 서술하시오,1
Color_1,map,color,값이 가장 높은 지역의 위치적 특징이 존재합니까? 존재한다면 값이 가장 높은 지역의 위치적 특징을 서술하시오,1
Color_0,map,base,값이 가장 낮은 범위에 속한 지역의 개수를 서술하시오,3
Color_0,map,color,값이 가장 낮은 범위에 속한 지역의 개수를 서술하시오,3
Color_2,map,base,주위 지역에 비해 유독 높은 값을 가지는 지역이 존재합니까? 존재한다면 주위 지역에 비해 유독 높은 값을 가지는 지역의 개수를 서술하시오,4
Color_2,map,color,주위 지역에 비해 유독 높은 값을 가지는 지역이 존재합니까? 존재한다면 주위 지역에 비해 유독 높은 값을 가지는 지역의 개수를 서술하시오,4
Color_3,map,base,주위 지역에 비해 유독 낮은 값을 가지는 지역이 존재합니까? 존재한다면 주위 지역에 비해 유독 낮은 값을 가지는 지역의 수를 서술하시오,4
Color_3,map,color,주위 지역에 비해 유독 낮은 값을 가지는 지역이 존재합니까? 존재한다면 주위 지역에 비해 유독 낮은 값을 가지는 지역의 수를 서술하시오,4
Color_4,map,base,값이 16~18에 속하는 지역의 개수를 서술하시오,2
Color_4,map,color,값이 16~18에 속하는 지역의 개수를 서술하시오,2
Color_5,map,base,값이 가장 낮은 범위에 속한 지역의 개수를 서술하시오,3
Color_5,map,color,값이 가장 낮은 범위에 속한 지역의 개수를 서술하시오,3
Color_7,map,base,값이 가장 높은 지역의 위치적 특징이 존재합니까? 존재한다면 값이 가장 높은 지역의 위치적 특징을 서술하시오,1
Color_7,map,color,값이 가장 높은 지역의 위치적 특징이 존재합니까? 존재한다면 값이 가장 높은 지역의 위치적 특징을 서술하시오,1
Color_6,map,base,값이 16~18에 속하는 지역의 개수를 서술하시오,2
Color_6,map,color,값이 16~18에 속하는 지역의 개수를 서술하시오,2
Shape_0,map,base,둘러 싸인 지역에서 같은 값의 범위를 가지는 지역이 없는 경우를 가지는 지역이 존재합니까? 존재한다면 해당 지역이 가지는 값 범위를 서술하시오,4
Shape_0,map,shape,둘러 싸인 지역에서 같은 값의 범위를 가지는 지역이 없는 경우를 가지는 지역이 존재합니까? 존재한다면 해당 지역이 가지는 값 범위를 서술하시오,4
Shape_1,map,base,4의 값을 갖는 지역의 개수를 서술하시오,2
Shape_1,map,shape,4의 값을 갖는 지역의 개수를 서술하시오,2
Shape_2,map,base,주위 지역에 비해 유독 낮은 값을 가지는 지역이 존재합니까? 존재한다면 주위 지역에 비해 유독 낮은 값을 가지는 지역의 수를 서술하시오,4
Shape_2,map,shape,주위 지역에 비해 유독 낮은 값을 가지는 지역이 존재합니까? 존재한다면 주위 지역에 비해 유독 낮은 값을 가지는 지역의 수를 서술하시오,4
Shape_3,map,base,값이 가장 낮은 범위에 속한 지역의 개수를 서술하시오,3
Shape_3,map,shape,값이 가장 낮은 범위에 속한 지역의 개수를 서술하시오,3
Shape_4,map,base,값이 가장 낮은 범위에 속한 지역의 개수를 서술하시오,3
Shape_4,map,shape,값이 가장 낮은 범위에 속한 지역의 개수를 서술하시오,3
Shape_5,map,base,값이 2.5~3.0에 속하는 지역의 개수를 서술하시오,2
Shape_5,map,shape,값이 2.5~3.0에 속하는 지역의 개수를 서술하시오,2
Shape_6,map,base,값이 높거나 낮은 지역의 위치적 특징이 존재합니까? 존재한다면 위치적 특징을 서술하시오,1
Shape_6,map,shape,값이 높거나 낮은 지역의 위치적 특징이 존재합니까? 존재한다면 위치적 특징을 서술하시오,1
Shape_7,map,base,값이 높거나 낮은 지역의 위치적 특징이 존재합니까? 존재한다면 위치적 특징을 서술하시오,1
Shape_7,map,shape,값이 높거나 낮은 지역의 위치적 특징이 존재합니까? 존재한다면 위치적 특징을 서술하시오,1
Size_0,map,base,값이 4에 속하는 지역의 개수를 서술하시오,2
Size_0,map,size,값이 4에 속하는 지역의 개수를 서술하시오,2
Size_1,map,base,값이 4에 속하는 지역의 개수를 서술하시오,2
Size_1,map,size,값이 4에 속하는 지역의 개수를 서술하시오,2
Size_2,map,base,가장 큰 값의 범위에 속하는 지역의 개수를 서술하시오,3
Size_2,map,size,가장 큰 값의 범위에 속하는 지역의 개수를 서술하시오,3
Size_3,map,base,값이 높거나 낮은 지역의 위치적 특징이 존재합니까? 존재한다면 위치적 특징을 서술하시오,1
Size_3,map,size,값이 높거나 낮은 지역의 위치적 특징이 존재합니까? 존재한다면 위치적 특징을 서술하시오,1
Size_4,map,base,값이 높거나 낮은 지역의 위치적 특징이 존재합니까? 존재한다면 위치적 특징을 서술하시오,1
Size_4,map,size,값이 높거나 낮은 지역의 위치적 특징이 존재합니까? 존재한다면 위치적 특징을 서술하시오,1
Size_5,map,base,동부 지역과 서부 지역의 값 차이가 존재합니까? 존재한다면 어떤 차이가 존재하는지 서술하시오,4
Size_5,map,size,동부 지역과 서부 지역의 값 차이가 존재합니까? 존재한다면 어떤 차이가 존재하는지 서술하시오,4
Size_6,map,base,북부 지역과 남부 지역의 값 차이가 존재합니까? 존재한다면 어떤 차이가 존재하는지 서술하시오,4
Size_6,map,size,북부 지역과 남부 지역의 값 차이가 존재합니까? 존재한다면 어떤 차이가 존재하는지 서술하시오,4
Size_7,map,base,값이 가장 높은 범위에 속한 지역의 개수를 서술하시오,3
Size_7,map,size,값이 가장 높은 범위에 속한 지역의 개수를 서술하시오,3
training_example,scatter,base,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
training_example,scatter,size,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
agriculture,scatter,base,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
agriculture,scatter,size,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
esoph,bar,base,두 막대의 차이가 가장 작은 그룹을 서술하시오,4
esoph,bar,color,두 막대의 차이가 가장 작은 그룹을 서술하시오,4
fheights,bar,base,8번째로 큰 높이를 가지는 index를 서술하시오. 동일한 높이를 가질 경우 동일한 높이를 가지는 모든 index를 서술하시오,3
fheights,bar,shape,8번째로 큰 높이를 가지는 index를 서술하시오. 동일한 높이를 가질 경우 동일한 높이를 가지는 모든 index를 서술하시오,3
FingerPrints,bar,base,두 막대의 차이가 가장 큰 그룹을 서술하시오,4
FingerPrints,bar,size,두 막대의 차이가 가장 큰 그룹을 서술하시오,4
gradestv,bar,base,TV 시청 시간이 성적 평균에 미치는 영향을 서술하시오,1
gradestv,bar,shape,TV 시청 시간이 성적 평균에 미치는 영향을 서술하시오,1
grog,bar,base,술 소비량이 가장 작은 국가를 서술하시오,3
grog,bar,color,술 소비량이 가장 작은 국가를 서술하시오,3
lepidium,bar,base,conc가 증가함에 따른 weight의 변화를 서술하시오,1
lepidium,bar,color,conc가 증가함에 따른 weight의 변화를 서술하시오,1
mammals,bar,base,body_wt와 brain_wt의 차이에 비해 brain_wt와 gestation의 차이가 작은 danger을 서술하시오,4
mammals,bar,color,body_wt와 brain_wt의 차이에 비해 brain_wt와 gestation의 차이가 작은 danger을 서술하시오,4
mariokart,bar,base,"duration, n_bids, ship_pr의 평균이 큰 wheel 순서대로 서술하시오",2
mariokart,bar,shape,"duration, n_bids, ship_pr의 평균이 큰 wheel 순서대로 서술하시오",2
moths,bar,base,A와 P의 차이가 가장 작은 그룹은?,4
moths,bar,shape,A와 P의 차이가 가장 작은 그룹은?,4
MurderRates,bar,base,lfp - rate가 더 작은 그룹이 한 응답이 무엇인지(yes or no) 서술하시오,4
MurderRates,bar,shape,lfp - rate가 더 작은 그룹이 한 응답이 무엇인지(yes or no) 서술하시오,4
NaturalGas,bar,base,수입에서 난방비로 나가는 지출이 50%이상인 state들을 서술하시오,1
NaturalGas,bar,color,수입에서 난방비로 나가는 지출이 50%이상인 state들을 서술하시오,1
nitrofen,bar,base,"brood1값이 큰 conc, brood2값이 큰 conc, brod3이 큰 conc를 차례로 서술하시오",3
nitrofen,bar,color,"brood1값이 큰 conc, brood2값이 큰 conc, brod3이 큰 conc를 차례로 서술하시오",3
PhDPublications,bar,base,mentor/prestige 값이 가장 큰 kids의 번호를 서술하시오,3
PhDPublications,bar,size,mentor/prestige 값이 가장 큰 kids의 번호를 서술하시오,3
ProgramEffectiveness,bar,base,각 그룹에서 testscore와 average의 차이값을 계산하여 서술하시오,2
ProgramEffectiveness,bar,size,각 그룹에서 testscore와 average의 차이값을 계산하여 서술하시오,2
RailTrail,bar,base,weekday의 volume은 weekend의 volume보다 얼만큼 작은지 서술하시오,2
RailTrail,bar,size,weekday의 volume은 weekend의 volume보다 얼만큼 작은지 서술하시오,2
Riders,bar,base,막대들의 평균 값이 가장 작은 요일을 서술하시오,2
Riders,bar,color,막대들의 평균 값이 가장 작은 요일을 서술하시오,2
SAT,bar,base," ratio,salary,verbal,math,sat의 비율은 state에 따라 어떤 특징을 가지는지 서술하시오 (ex 일정하다 or 달라진다)",1
SAT,bar,size," ratio,salary,verbal,math,sat의 비율은 state에 따라 어떤 특징을 가지는지 서술하시오 (ex 일정하다 or 달라진다)",1
sleep,bar,base,둘 중 더 큰 값을 가지는 group은?,4
sleep,bar,size,둘 중 더 큰 값을 가지는 group은?,4
SwimRecordsF,bar,base,년도에 따른 시간의 감소폭의 변화를 서술하시오,1
SwimRecordsF,bar,size,년도에 따른 시간의 감소폭의 변화를 서술하시오,1
SwimRecordsM,bar,base,가장 적은 시간을 기록한 년도와 몇초가량의 기록을 가졌는지 서술하시오,3
SwimRecordsM,bar,shape,가장 적은 시간을 기록한 년도와 몇초가량의 기록을 가졌는지 서술하시오,3
trees,bar,base,volume이 height의 절반 이상인 index의 개수를 서술하시오,2
trees,bar,shape,volume이 height의 절반 이상인 index의 개수를 서술하시오,2
urine,bar,base,bar들의 평균값이 더 큰 r의 값을 서술하시오,2
urine,bar,color,bar들의 평균값이 더 큰 r의 값을 서술하시오,2
women,bar,base,height증가에 따른 weight의 변화는 존재하는가?,1
women,bar,shape,height증가에 따른 weight의 변화는 존재하는가?,1
Workinghours,bar,base,income이 가장 큰 unemp를 서술하시오,3
Workinghours,bar,size,income이 가장 큰 unemp를 서술하시오,3
Arbuthnot,line,base,가장 급격한 감소가 발생한 년도는?,1
Arbuthnot,line,shape,가장 급격한 감소가 발생한 년도는?,1
cherry,line,base,"diam, height, volume사이에 연관이 존재하는가?",1
cherry,line,color,"diam, height, volume사이에 연관이 존재하는가?",1
ChinaIncome,line,base,가장 많은 증가율을 보인 분야는?,3
ChinaIncome,line,color,가장 많은 증가율을 보인 분야는?,3
Dimes,line,base,10센트의 무게가 증가한 횟수는?,2
Dimes,line,size,10센트의 무게가 증가한 횟수는?,2
DJFranses,line,base,시간에 따른 지수의 특징은?,1
DJFranses,line,size,시간에 따른 지수의 특징은?,1
DJIA8012,line,base,시간에 따른 지수의 특징은?,1
DJIA8012,line,size,시간에 따른 지수의 특징은?,1
DutchAdvert,line,base,시간에 따른 두 매체의 광고비 차이 변화를 서술하시오,1
DutchAdvert,line,shape,시간에 따른 두 매체의 광고비 차이 변화를 서술하시오,1
Equipment,line,base,총 생산량이 가장 큰 지역 이름은?,3
Equipment,line,color,총 생산량이 가장 큰 지역 이름은?,3
galaxies,line,base,다음은 행성들의 dat을 나타낸 시각화로 비슷한 dat을 가진 행성은 같은 은하에 속한다고 할 수 있다. 그림의 시각화에서 은하의 개수는?,3
galaxies,line,size,다음은 행성들의 dat을 나타낸 시각화로 비슷한 dat을 가진 행성은 같은 은하에 속한다고 할 수 있다. 그림의 시각화에서 은하의 개수는?,3
gifted,line,base,fatheriq가 motheriq 보다 큰 경우는 얼마나 존재하는가?,2
gifted,line,shape,fatheriq가 motheriq 보다 큰 경우는 얼마나 존재하는가?,2
Guns,line,base,가장 큰 robbery를 가진 index는?,3
Guns,line,shape,가장 큰 robbery를 가진 index는?,3
heartrate,line,base,어느 pressure에서 rate는 급격한 감소를 하는가?,3
heartrate,line,shape,어느 pressure에서 rate는 급격한 감소를 하는가?,3
HousePrices,line,base,lot size와 price의 차이가 가장 큰 index는?,4
HousePrices,line,shape,lot size와 price의 차이가 가장 큰 index는?,4
Icecream,line,base,cons가 price보다 작은 index는?,4
Icecream,line,shape,cons가 price보다 작은 index는?,4
Irates,line,base,index에 따른 value 특징을 설명하시오,1
Irates,line,color,index에 따른 value 특징을 설명하시오,1
lizard_run,line,base,이전 index에 비해 감소한 횟수는?,2
lizard_run,line,color,이전 index에 비해 감소한 횟수는?,2
M.bahia,line,base,dryweight가 conc에 비해 작아지기 시작하는 index값은?,4
M.bahia,line,size,dryweight가 conc에 비해 작아지기 시작하는 index값은?,4
OrangeCountry,line,base,두 선이 만나는 횟수는?,2
OrangeCountry,line,shape,두 선이 만나는 횟수는?,2
pluton,line,base,"Pu239, Pu238, Pu240, Pu241을 비교하시오",4
pluton,line,size,"Pu239, Pu238, Pu240, Pu241을 비교하시오",4
RainIbk,line,base,일별 강수량의 최대값을 가진 달은?,3
RainIbk,line,size,일별 강수량의 최대값을 가진 달은?,3
res_demo_2,line,base,x와 y_log중 y_fan의 추세선에 더 가까운 것은?,4
res_demo_2,line,color,x와 y_log중 y_fan의 추세선에 더 가까운 것은?,4
ruspini,line,base,"x, y에서 20 이상의 급격한 하락이 발생한 횟수는",2
ruspini,line,size,"x, y에서 20 이상의 급격한 하락이 발생한 횟수는",2
xclara,line,base,V1의 평균이 V2의 평균보다 큰 구간과 V1의 평균이 V2의 평균보다 작은 구간은?,4
xclara,line,color,V1의 평균이 V2의 평균보다 큰 구간과 V1의 평균이 V2의 평균보다 작은 구간은?,4
yule,line,base,old가 pop보다 큰 지역의 개수는?,2
yule,line,color,old가 pop보다 큰 지역의 개수는?,2
flower,scatter,color,다음 데이터를 클러스터링 하시오,3
flower,scatter,base,다음 데이터를 클러스터링 하시오,3
