index,affairs,yearsmarried,rating
330,0,1.5,3
331,0,1.5,4
332,0,10,4
333,0,15,4
334,0,10,5
335,0,4,5
336,0,15,2
337,0,0.75,5
338,0,15,5
339,0,15,5
340,0,10,5
341,0,7,5
342,0,15,3
343,0,1.5,4
344,0,0.75,5
345,0,4,4
346,0,0.125,4
347,0,1.5,5
348,0,7,3
349,0,15,3
350,0,1.5,2
351,0,1.5,5
352,0,1.5,5
353,0,0.125,4
354,0,4,5
355,0,4,5
356,0,15,5
357,0,15,3
358,0,7,5
359,0,0.75,4
360,0,0.125,5
361,0,10,5
362,0,0.417,5
363,0,15,4
364,0,10,5
365,0,15,5
366,0,4,5
367,0,7,5
368,0,10,5
369,0,10,4
370,0,4,4
371,0,7,2
372,0,15,2
373,0,7,5
374,0,1.5,3
375,0,1.5,5
376,0,1.5,4
377,0,7,5
378,0,15,4
379,0,0.75,5
380,0,1.5,5
381,0,4,5
382,0,15,5
383,0,10,5
384,0,15,4
385,0,7,2
386,0,1.5,5
387,0,10,4
388,0,0.75,4
389,0,1.5,5
390,0,15,4
391,0,7,5
392,0,15,4
393,0,15,2
394,0,15,2
395,0,7,2
396,0,4,5
397,0,1.5,5
398,0,0.75,5
399,0,15,5
400,0,1.5,3
401,0,4,5
402,0,4,5
403,0,15,4
404,0,1.5,3
405,0,15,1
406,0,7,5
407,0,15,4
408,0,15,5
409,0,7,4
410,0,7,5
411,0,4,3
412,0,7,5
413,0,7,3
414,0,10,4
415,0,1.5,5
416,0,4,3
417,0,15,5
418,0,15,3
419,0,7,5
420,0,10,5
421,0,4,5
422,0,4,4
423,0,15,1
424,0,1.5,4
425,0,7,4
426,0,4,5
427,0,0.125,5
428,0,7,4
429,0,15,3
430,0,10,4
431,0,15,4
432,0,1.5,5
433,0,4,4
434,0,15,5
435,0,7,2
436,0,7,4
437,0,15,4
438,0,15,4
439,0,7,3
440,0,7,2
441,0,15,3
442,0,4,5
443,0,7,4
444,0,1.5,5
445,0,4,4
446,0,4,5
447,0,1.5,5
448,0,15,4
449,0,10,2
450,0,15,4
451,0,4,4
452,3,1.5,4
453,3,4,5
454,7,15,2
455,12,10,2
456,1,0.125,5
457,1,1.5,5
458,12,15,2
459,7,1.5,4
460,2,15,4
461,3,15,2
462,1,15,2
463,7,15,4
464,12,15,1
465,12,10,2
466,12,15,2
467,3,4,5
468,7,10,3
469,7,4,5
470,1,15,5
471,1,15,5
472,7,4,4
473,1,7,4
474,12,1.5,4
475,12,7,2
476,3,15,4
477,7,10,3
478,1,1.5,2
479,1,4,4
480,1,7,3
481,3,10,4
482,3,4,2
483,1,0.75,5
484,1,10,5
485,7,7,4
486,7,15,4
487,7,10,3
488,12,10,5
489,7,15,4
490,7,15,3
491,1,15,3
492,2,15,5
493,12,4,4
494,12,7,2
495,1,4,5
496,12,15,5
497,12,15,1
498,7,4,4
499,7,7,5
500,1,0.417,4
501,3,15,4
502,12,15,4
503,7,4,4
504,1,4,5
505,7,15,3
506,1,4,3
507,1,10,4
508,1,7,4
509,7,7,1
510,3,1.5,2
511,7,4,4
512,7,15,4
513,2,15,4
514,7,4,2
515,1,4,4
516,7,7,4
517,2,15,4
518,7,15,2
519,7,10,3
520,3,15,1
521,1,15,4
522,2,7,3
523,12,7,2
524,1,4,5
525,3,7,4
526,12,15,5
527,7,15,3
528,7,7,5
529,1,7,3
530,1,1.5,4
531,12,15,2
532,7,10,4
533,7,4,3
534,1,4,3
535,12,15,3
536,1,10,5
537,12,10,2
538,12,7,3
539,3,7,2
540,3,10,4
541,12,0.75,3
542,12,15,4
543,2,7,3
544,1,7,5
545,7,4,2
546,1,1.5,3
547,12,15,1
548,12,15,2
549,7,15,4
550,12,10,2
551,12,15,1
552,7,15,5
553,12,15,4
554,2,15,3
555,12,15,3
556,12,15,2
557,7,10,4
558,2,15,4
559,12,15,2
560,7,10,3
561,2,15,1
562,7,1.5,5
563,3,15,2
564,12,15,4
565,12,4,5
566,2,10,5
567,1,4,3
568,12,7,5
569,2,4,5
570,7,15,4
571,2,4,1
572,12,0.75,5
573,7,15,4
574,7,4,5
575,2,4,4
576,1,1.5,2
577,3,15,4
578,1,7,4
579,12,15,2
580,1,15,3
581,1,4,4
582,2,15,3
583,7,15,4
584,3,1.5,3
585,3,4,2
586,2,15,5
587,12,15,5
588,12,15,5
589,3,15,4
590,7,15,2
591,7,7,2
592,12,15,2
593,7,15,2
594,12,7,4
595,3,10,3
596,7,15,2
597,1,1.5,5
598,7,10,4
599,2,10,5
600,2,7,2
601,1,15,5
