,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
19,MI,Michigan,-84.687,43.1361,1.0,0.0,0.0,1.0,39.46131269980363,74.14115657568607,80.0,77.0,44.2226969552626,36.115257577464384,28.0,33.68371100634065,21.0,36.09474245775438,43.0936412076264,30.37931616092941,30.888298316457774,44.0,39.084881192601735,25.0,33.69578513028264,35.6778433998457,-0.006410176642446642,1
20,MN,Minnesota,-94.6043,46.3943,1.0,0.0,0.0,1.0,34.01870076178524,81.55241401469124,82.0,77.0,52.797311873706875,38.68514775724572,24.999999999999996,32.56012162464299,25.999999999999996,30.774096278578817,40.74340495048778,39.4292313533147,38.47404347531028,31.999999999999996,39.99999999999999,36.68477808761398,30.634876033761635,41.0,-0.0070195152767671305,1
21,MO,Missouri,-92.5137,38.3347,0.0,1.0,0.0,1.0,39.64812447887188,72.26621047722304,84.0,82.0,76.65208758343155,73.21866474258717,27.0,31.59801985551104,27.999999999999996,33.305197629852195,46.01187249771779,35.608984114568656,29.0,35.62337240122257,40.0,34.24259464729709,29.95392415271015,36.54633251547407,-0.07289552457362877,1
22,MS,Mississippi,-89.8065,32.6758,0.0,1.0,0.0,1.0,55.65179258677483,65.22057000310194,75.0,64.88263485316008,60.46349072491003,59.51476436847904,59.07855423802752,35.399593685898736,26.0,34.85610164602607,43.00870853432834,47.0,41.945678989269844,40.710984512555314,40.23202976528168,37.506083198214725,34.28059656087529,33.0,0.8833405785339601,0
23,MT,Montana,-109.32,46.823,1.0,0.0,1.0,0.0,25.914502536217135,78.20555907060225,79.0,82.0,55.09071658449179,46.62291715416255,27.0,25.694350847730597,21.000000000000004,35.56848896625919,44.59328601885676,38.57254481013647,44.00000000000001,26.000000000000004,38.2729215593318,42.12701759052953,35.49561702425487,44.756093167001964,0.07104857079812626,1
24,NC,North Carolina,-78.4686,35.4195,0.0,1.0,0.0,1.0,37.78463179213876,68.8304604518137,76.0,68.14196501520568,57.96930431600567,55.93389984886504,41.269715707231214,36.363033974060265,27.0,30.98502943882422,39.523532064339435,42.0,38.77090606440796,36.369361489149455,33.751797642662325,31.741734040370464,28.80072681021263,25.0,0.9846093415519938,0
25,ND,North Dakota,-100.099,47.2517,1.0,0.0,1.0,0.0,59.77062243973205,82.81808011736179,82.99999999999999,80.51730129990392,80.06328097758,66.89960110370498,60.38560126564844,47.666272441345654,21.999999999999993,32.27969298336972,39.73998830197503,44.0,38.64312553388276,37.24251787444051,33.15530987225481,32.719192349148635,31.62570746714139,31.0,0.8053683121320737,0
26,NE,Nebraska,-99.5898,41.3356,1.0,0.0,1.0,0.0,42.81397751511855,58.706973838689926,78.0,76.0,58.39144369678825,57.38377748041027,20.0,42.408915533546406,29.0,32.77290850043639,38.22719111097244,29.0,42.0,25.0,35.608169414582356,37.191126407807076,32.56804325616559,33.13494082905889,0.07385787740532188,1
27,NH,New Hampshire,-71.3924,43.3934,1.0,0.0,0.0,1.0,41.778509342126675,74.74395672406592,75.0,59.52051816427368,49.66006274737934,49.34872123796997,43.374183969054386,31.02337626799958,29.0,33.678780459985994,44.96763172418695,49.0,42.69177510846232,38.12847210730133,35.073659502232175,34.92928940242024,30.7495431159805,29.0,0.9773174767504601,0
28,NJ,New Jersey,-74.2336,39.9637,1.0,0.0,0.0,1.0,34.50950820450033,75.1236781278024,80.0,75.0,50.52822656751033,37.10680040000742,23.0,31.272963432680115,23.0,31.462348793062887,44.46575308768713,39.053041461563595,47.0,27.0,42.91205519381853,42.92449132325736,31.350713151815153,34.044258098975035,0.08686502595588826,1
29,NM,New Mexico,-105.942,34.4764,0.0,1.0,1.0,0.0,40.47717584384948,55.93540434574025,81.0,78.00000000000001,75.80185085751592,75.64115137193482,22.000000000000007,28.635774231871288,22.0,33.37969859257721,38.572172602380036,32.70953665176535,25.0,49.00000000000001,47.606266072620606,37.70303577740761,28.796318021514764,25.0,0.08869119614968068,1
30,NV,Nevada,-116.851,39.1063,0.0,1.0,1.0,0.0,29.107446860834145,66.53694049471699,75.0,50.9706070690369,43.401820483231205,41.71420152582512,39.40193519044756,28.5324889491798,20.0,34.096165224033015,43.97141497368318,45.0,40.131238656653004,37.73256085183077,37.35294840225546,36.25412546936532,33.06068744708783,32.0,0.9943834025640389,0
31,NY,New York,-75.1449,43.1361,1.0,0.0,0.0,1.0,29.49221310836912,74.4116239943109,79.0,72.20566515675542,58.31366668491093,43.00604184568692,40.89435014001272,26.587224593046145,24.0,26.49420205659556,45.00683026248742,46.99999999999999,43.237924198229166,36.952435981238445,32.25715539436383,29.42803958900145,25.952270717290478,24.999999999999996,0.9952928446538181,0
32,OH,Ohio,-82.5963,40.221,1.0,0.0,0.0,1.0,32.253530262467464,72.99493909543128,79.0,78.0,76.0986792896312,50.19140658476904,19.999999999999993,28.803236132335552,20.0,32.95925283741003,38.18687761906856,45.0,45.00000000000001,37.47605209143007,29.000000000000004,43.60023164101082,32.14250197220445,31.280961975399055,-0.0102382440207823,1
33,OK,Oklahoma,-97.1239,35.5053,0.0,1.0,1.0,0.0,22.498168701283966,47.98198430809494,76.0,81.0,61.00454410722345,57.93569650513972,28.0,22.266326961870192,21.000000000000004,29.790810187434385,34.15092532977826,29.0,30.999999999999996,42.0,34.51383631700835,31.126151654908348,29.433214603775777,32.1113029559097,0.1297886580297092,1
34,OR,Oregon,-120.068,43.9078,1.0,0.0,1.0,0.0,38.27915081113136,71.15348214234717,75.0,62.087029719601375,51.97903614115078,48.253910977642654,42.98385200896741,21.496380923088502,20.0,34.38603363262767,42.30084833588087,44.0,41.16916067587111,37.50747358946656,37.41048448880696,35.753742467925136,29.293723359242875,29.0,0.9963766226959262,0
35,PA,Pennsylvania,-77.45,40.9069,1.0,0.0,0.0,1.0,45.06483821690559,83.46017356310216,84.0,81.20962305489475,75.03737055302983,58.73361802555051,51.149393401803835,44.861840290587686,29.0,33.971166880723864,42.71875702921123,43.0,40.99680471908303,40.05446776958664,37.09152557315559,35.48452975054159,33.372331103609326,30.000000000000004,0.9948619763589857,0
36,RI,Rhode Island,-71.1244,41.5928,1.0,0.0,0.0,1.0,33.67349830393797,68.91873441285213,82.0,83.0,81.6583453719229,54.89092659367452,21.0,22.186654113518504,21.999999999999993,26.545474525037175,34.79766492886396,35.462373626452695,42.0,41.82084535630423,34.0,41.70113833282804,26.38389094011934,41.77759197909667,0.14534024332117695,1
37,SC,South Carolina,-80.5056,33.619,0.0,1.0,0.0,1.0,33.03797884666858,55.65910487030952,80.0,77.0,52.03748924187646,33.60989332258795,21.999999999999996,21.936537845879513,20.0,31.219814728487435,36.02618079553572,33.74960192271729,31.000000000000004,49.0,35.28893271310458,31.1135695469266,29.183804902004063,41.0,0.08035578655822836,1
38,SD,South Dakota,-99.7238,44.3365,1.0,0.0,1.0,0.0,63.82214089040825,74.2752985333395,82.00000000000001,72.32585280465247,70.84060817778033,69.02452991863848,68.72419940187822,32.71979854008766,23.000000000000004,40.332465265448334,44.76354929098109,47.0,44.628794965969085,44.36524024973216,42.49341496921715,42.28841232696052,31.218552316248296,31.0,0.9878465130138512,0
39,TN,Tennessee,-86.456,35.6767,0.0,1.0,0.0,1.0,34.499881276943896,72.93107508507792,81.0,76.0,45.134845482025845,32.68676548432522,27.0,28.816860093031753,26.000000000000004,32.30035490510495,45.00336631653386,46.42771155157136,39.229835054820725,29.0,40.0,37.278337707781574,30.109749627262868,38.61279631513215,0.08026834002077893,1
40,TX,Texas,-98.7857,31.3897,0.0,1.0,1.0,0.0,33.254426755452634,66.23006814310165,75.0,77.0,65.8449016821462,58.654354712315886,27.0,26.073165263874944,26.0,34.129333317409646,46.820095706381,32.39026533029666,25.0,26.0641550502596,41.0,29.05341548856926,26.846468623038245,39.21931335517833,-0.18676579659419504,1
41,UT,Utah,-111.33,39.1063,0.0,1.0,1.0,0.0,34.82100743661227,63.79228089037231,77.0,62.97546731045183,52.47396076396169,41.35387688061104,40.39338076683112,25.211862447251384,24.0,35.204746797851406,41.30101306709547,43.0,39.99627312401831,37.536764441257155,35.90257968441258,35.53003376947228,32.45696958773825,32.0,0.9923313735646339,0
42,VA,Virginia,-78.2005,37.563,0.0,1.0,0.0,1.0,51.27299179034968,75.17249302440895,77.0,77.00000000000001,62.18621528221591,55.825138960292605,22.000000000000007,47.75787526316432,23.000000000000004,37.89471953239902,43.5019081876365,32.0,42.00000000000001,34.0,41.74444607013533,39.947493519554016,34.844396374289055,33.42575702525085,0.008955845353100563,1
43,VT,Vermont,-72.545,44.2508,1.0,0.0,0.0,1.0,41.13459618554673,69.22016101423024,75.0,82.0,66.52730478816763,54.82295858407099,26.0,40.229954168566856,26.0,31.581967578487003,43.495669018167035,35.22482124641888,31.197859762624226,28.9633940856341,42.0,28.000000000000004,30.73617341593498,30.5826367789238,0.11470232609466274,1
44,WA,Washington,-119.746,47.4231,1.0,0.0,1.0,0.0,36.643992473113,58.780062380126985,81.0,83.0,45.03116133610654,44.777067970035226,24.999999999999996,31.86850063856259,20.0,31.499159865933148,35.37199215668892,36.23971961167484,30.564816930719417,42.0,39.64741926837076,27.0,30.00298534077447,30.02781970921406,-0.011212984236863774,1
45,WI,Wisconsin,-89.9941,44.5937,1.0,0.0,0.0,1.0,60.36645489310644,74.77036848155032,82.0,67.86486212597664,66.52135255379865,63.04561932782121,61.75414864949727,59.61242176576203,22.0,32.98643557271406,45.365431688669,48.0,43.97586558569476,43.80364691329552,40.013157001830834,39.47288468134548,31.98423251937227,29.0,0.8324074697326382,0
46,WV,West Virginia,-80.6665,38.4204,0.0,1.0,0.0,1.0,60.035109976960996,71.32084535993289,77.0,82.0,74.9175243374894,56.69491726852636,27.0,32.41207481521331,24.999999999999996,37.3581995587573,43.52144412288811,33.22469193747633,25.1300816388196,41.0,25.0,31.408244596571002,29.6003597199402,33.482485097797976,0.04802375517600902,1
47,WY,Wyoming,-107.256,43.0504,1.0,0.0,1.0,0.0,53.3715813985018,80.77203126820811,84.0,79.72303771981754,71.75871770007255,60.135674741602394,58.25204389424879,32.99530752809051,25.0,33.856430362806215,41.862883740860966,42.0,41.243847869073754,39.09780796265983,36.50986677424065,34.565309051036394,26.826299690973116,26.0,0.9955664740466806,0
48,notnoise_time,notnoise_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
